municipality,group,variable,month,Consultas nuevas en menores de 5 años,TOTAL
ACACIO,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,85,85
ACHACACHI,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,164,164
ACHOCALLA,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,12,12
AIQUILE,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,323,323
ALALAY,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,4,4
ALCALA,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,8,8
ANCORAIMES,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,30,30
ANDAMARCA,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,1,1
ANZALDO,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,4,4
APOLO,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,87,87
ARAMPAMPA,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,7,7
ARANI,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,36,36
ARQUE,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,51,51
ASCENCION DE GUARAYOS,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,17,17
ATOCHA,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,44,44
AUCAPATA,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,1,1
AYATA,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,23,23
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,73,73
AZURDUY,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,6,6
BAURES,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,9,9
BELEN DE URMIRI,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,1,1
BERMEJO,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,117,117
BETANZOS,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,39,39
BOLIVAR,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,30,30
BOYUIBE,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,2,2
BUENA VISTA,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,19,19
CAIROMA,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,2,2
"CAIZA ""D""",consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,32,32
CAJUATA,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,46,46
CALACOTO,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,12,12
CALAMARCA,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,4,4
CAMARGO,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,48,48
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,19,19
CAMIRI,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,105,105
CAPINOTA,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,24,24
CARACOLLO,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,14,14
CARANAVI,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,81,81
CARAPARI,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,3,3
CARMEN RIVERO TORREZ,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,1,1
CATACORA,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,10,10
CHALLAPATA,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,47,47
CHAQUI,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,18,18
CHARAGUA,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,11,11
CHARAÑA,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,23,23
CHAYANTA,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,89,89
CHIMORE,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,45,45
CHOQUE COTA,consultas odontologicas,consultas nuevas en menores de 5 anos,2005-01-01,11,11
