municipality,group,variable,month,Consultas repetidas en personas de 5 años y más,TOTAL
ACHACACHI,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,124,124
ACHOCALLA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,13,13
AIQUILE,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,55,55
ALALAY,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,14,14
ALCALA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,8,8
ANCORAIMES,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,9,9
ANZALDO,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,15,15
ARANI,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,70,70
ARBIETO,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,29,29
ARQUE,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,65,65
ASCENCION DE GUARAYOS,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,26,26
ATOCHA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,305,305
AUCAPATA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,1,1
AYATA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,77,77
AZURDUY,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,175,175
BAURES,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,69,69
BERMEJO,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,95,95
BETANZOS,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,19,19
BOLIVAR,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,27,27
BOYUIBE,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,30,30
BUENA VISTA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,41,41
CAMARGO,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,151,151
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,63,63
CAMIRI,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,335,335
CAPINOTA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,75,75
CARACOLLO,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,10,10
CARANAVI,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,9,9
CARAPARI,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,28,28
CARMEN RIVERO TORREZ,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,10,10
CHALLAPATA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,80,80
CHAQUI,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,38,38
CHARAGUA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,15,15
CHAYANTA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,5,5
CHIMORE,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,6,6
CLIZA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,7,7
COBIJA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,178,178
COCHABAMBA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,5875,5875
COLCAPIRHUA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,162,162
COLOMI,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,17,17
COLQUECHACA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,10,10
COLQUIRI,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,4,4
COMARAPA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,145,145
CONCEPCION,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,21,21
COPACABANA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2005-01-01,26,26
