municipality,group,variable,month,Consultas nuevas en personas de 5 años y más,TOTAL
ACACIO,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,77,77
ACHACACHI,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,334,334
ACHOCALLA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,49,49
AIQUILE,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,414,414
ALALAY,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,32,32
ALCALA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,7,7
ANCORAIMES,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,135,135
ANDAMARCA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,4,4
ANZALDO,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,33,33
APOLO,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,477,477
ARAMPAMPA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,3,3
ARANI,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,105,105
ARBIETO,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,3,3
ARQUE,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,102,102
ASCENCION DE GUARAYOS,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,68,68
ATOCHA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,708,708
AUCAPATA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,39,39
AYATA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,105,105
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,129,129
AZURDUY,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,102,102
BATALLAS,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,5,5
BAURES,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,109,109
BERMEJO,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,411,411
BETANZOS,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,105,105
BOLIVAR,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,29,29
BOYUIBE,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,120,120
BUENA VISTA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,217,217
CABEZAS,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,30,30
CAIROMA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,22,22
"CAIZA ""D""",consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,21,21
CAJUATA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2005-01-01,148,148
