municipality,group,variable,month,Acciones preventivas,TOTAL
ACACIO,consultas odontologicas,acciones preventivas,2005-01-01,114,114
ACHACACHI,consultas odontologicas,acciones preventivas,2005-01-01,124,124
AIQUILE,consultas odontologicas,acciones preventivas,2005-01-01,82,82
ALALAY,consultas odontologicas,acciones preventivas,2005-01-01,33,33
ALCALA,consultas odontologicas,acciones preventivas,2005-01-01,6,6
ANCORAIMES,consultas odontologicas,acciones preventivas,2005-01-01,46,46
APOLO,consultas odontologicas,acciones preventivas,2005-01-01,239,239
ARAMPAMPA,consultas odontologicas,acciones preventivas,2005-01-01,6,6
ARANI,consultas odontologicas,acciones preventivas,2005-01-01,13,13
ARQUE,consultas odontologicas,acciones preventivas,2005-01-01,71,71
AYATA,consultas odontologicas,acciones preventivas,2005-01-01,16,16
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,acciones preventivas,2005-01-01,172,172
BERMEJO,consultas odontologicas,acciones preventivas,2005-01-01,3,3
BETANZOS,consultas odontologicas,acciones preventivas,2005-01-01,1,1
BOLIVAR,consultas odontologicas,acciones preventivas,2005-01-01,38,38
BOYUIBE,consultas odontologicas,acciones preventivas,2005-01-01,6,6
CAJUATA,consultas odontologicas,acciones preventivas,2005-01-01,32,32
CAMARGO,consultas odontologicas,acciones preventivas,2005-01-01,7,7
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,acciones preventivas,2005-01-01,15,15
CAMIRI,consultas odontologicas,acciones preventivas,2005-01-01,34,34
CARANAVI,consultas odontologicas,acciones preventivas,2005-01-01,95,95
CATACORA,consultas odontologicas,acciones preventivas,2005-01-01,9,9
CHALLAPATA,consultas odontologicas,acciones preventivas,2005-01-01,18,18
CHAQUI,consultas odontologicas,acciones preventivas,2005-01-01,1,1
CHARAGUA,consultas odontologicas,acciones preventivas,2005-01-01,1,1
CHARAÑA,consultas odontologicas,acciones preventivas,2005-01-01,18,18
CHAYANTA,consultas odontologicas,acciones preventivas,2005-01-01,29,29
CHIMORE,consultas odontologicas,acciones preventivas,2005-01-01,19,19
CHUMA,consultas odontologicas,acciones preventivas,2005-01-01,24,24
COBIJA,consultas odontologicas,acciones preventivas,2005-01-01,224,224
COCHABAMBA,consultas odontologicas,acciones preventivas,2005-01-01,1140,1140
COLCAPIRHUA,consultas odontologicas,acciones preventivas,2005-01-01,4,4
"COLCHA ""K""",consultas odontologicas,acciones preventivas,2005-01-01,8,8
COLOMI,consultas odontologicas,acciones preventivas,2005-01-01,12,12
COLQUENCHA,consultas odontologicas,acciones preventivas,2005-01-01,4,4
COMARAPA,consultas odontologicas,acciones preventivas,2005-01-01,4,4
COPACABANA,consultas odontologicas,acciones preventivas,2005-01-01,263,263
COTAGAITA,consultas odontologicas,acciones preventivas,2005-01-01,13,13
CUEVO,consultas odontologicas,acciones preventivas,2005-01-01,101,101
CULPINA,consultas odontologicas,acciones preventivas,2005-01-01,12,12
DESAGUADERO,consultas odontologicas,acciones preventivas,2005-01-01,1,1
EL ALTO,consultas odontologicas,acciones preventivas,2005-01-01,872,872
EL PUENTE(TJA),consultas odontologicas,acciones preventivas,2005-01-01,2,2
EL VILLAR,consultas odontologicas,acciones preventivas,2005-01-01,1,1
ENTRE RIOS,consultas odontologicas,acciones preventivas,2005-01-01,279,279
EUREKA (SANTOS MERCADO),consultas odontologicas,acciones preventivas,2005-01-01,2,2
FILADELFIA,consultas odontologicas,acciones preventivas,2005-01-01,40,40
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,acciones preventivas,2005-01-01,110,110
GUANAY,consultas odontologicas,acciones preventivas,2005-01-01,10,10
GUAYARAMERIN,consultas odontologicas,acciones preventivas,2005-01-01,209,209
ICHOCA,consultas odontologicas,acciones preventivas,2005-01-01,1,1
INQUISIVI,consultas odontologicas,acciones preventivas,2005-01-01,163,163
IXIAMAS,consultas odontologicas,acciones preventivas,2005-01-01,159,159
JESUS DE MACHACA,consultas odontologicas,acciones preventivas,2005-01-01,4,4
LA PAZ,consultas odontologicas,acciones preventivas,2005-01-01,1219,1219
LAJA,consultas odontologicas,acciones preventivas,2005-01-01,23,23
LICOMA PAMPA,consultas odontologicas,acciones preventivas,2005-01-01,1,1
LLALLAGUA,consultas odontologicas,acciones preventivas,2005-01-01,14,14
MAPIRI,consultas odontologicas,acciones preventivas,2005-01-01,2,2
MIZQUE,consultas odontologicas,acciones preventivas,2005-01-01,32,32
MOCOMOCO,consultas odontologicas,acciones preventivas,2005-01-01,21,21
MONTEAGUDO,consultas odontologicas,acciones preventivas,2005-01-01,8,8
MONTERO,consultas odontologicas,acciones preventivas,2005-01-01,22,22
MORO MORO,consultas odontologicas,acciones preventivas,2005-01-01,14,14
MOROCHATA,consultas odontologicas,acciones preventivas,2005-01-01,102,102
ORURO,consultas odontologicas,acciones preventivas,2005-01-01,1,1
PALOS BLANCOS,consultas odontologicas,acciones preventivas,2005-01-01,81,81
