municipality,group,variable,month,Cirugia maxilo Faciales,TOTAL
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2005-01-01,15,15
GUAYARAMERIN,consultas odontologicas,cirugia maxilo faciales,2005-01-01,1,1
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2005-01-01,20,20
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2005-01-01,28,28
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,cirugia maxilo faciales,2005-02-01,2,2
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2005-02-01,13,13
GUAYARAMERIN,consultas odontologicas,cirugia maxilo faciales,2005-02-01,1,1
PAZÑA,consultas odontologicas,cirugia maxilo faciales,2005-02-01,1,1
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2005-02-01,2,2
UYUNI,consultas odontologicas,cirugia maxilo faciales,2005-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,cirugia maxilo faciales,2005-03-01,2,2
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2005-03-01,2,2
GUAYARAMERIN,consultas odontologicas,cirugia maxilo faciales,2005-03-01,3,3
ORURO,consultas odontologicas,cirugia maxilo faciales,2005-03-01,5,5
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2005-03-01,22,22
SUCRE,consultas odontologicas,cirugia maxilo faciales,2005-03-01,15,15
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,cirugia maxilo faciales,2005-04-01,2,2
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2005-04-01,6,6
MIZQUE,consultas odontologicas,cirugia maxilo faciales,2005-04-01,17,17
ORURO,consultas odontologicas,cirugia maxilo faciales,2005-04-01,10,10
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2005-04-01,23,23
UYUNI,consultas odontologicas,cirugia maxilo faciales,2005-04-01,8,8
VILLA TUNARI,consultas odontologicas,cirugia maxilo faciales,2005-04-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,cirugia maxilo faciales,2005-05-01,3,3
AZURDUY,consultas odontologicas,cirugia maxilo faciales,2005-05-01,5,5
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2005-05-01,10,10
COROICO,consultas odontologicas,cirugia maxilo faciales,2005-05-01,1,1
ORURO,consultas odontologicas,cirugia maxilo faciales,2005-05-01,1,1
PUERTO SILES,consultas odontologicas,cirugia maxilo faciales,2005-05-01,3,3
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2005-05-01,26,26
SUCRE,consultas odontologicas,cirugia maxilo faciales,2005-05-01,40,40
TARIJA,consultas odontologicas,cirugia maxilo faciales,2005-05-01,1,1
VILLA TUNARI,consultas odontologicas,cirugia maxilo faciales,2005-05-01,2,2
YACUIBA,consultas odontologicas,cirugia maxilo faciales,2005-05-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,cirugia maxilo faciales,2005-06-01,1,1
BERMEJO,consultas odontologicas,cirugia maxilo faciales,2005-06-01,3,3
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2005-06-01,21,21
COTAGAITA,consultas odontologicas,cirugia maxilo faciales,2005-06-01,40,40
IRUPANA (VILLA DE LANZA),consultas odontologicas,cirugia maxilo faciales,2005-06-01,1,1
ORURO,consultas odontologicas,cirugia maxilo faciales,2005-06-01,13,13
PUCARANI,consultas odontologicas,cirugia maxilo faciales,2005-06-01,22,22
SACABA,consultas odontologicas,cirugia maxilo faciales,2005-06-01,2,2
SAN LUCAS,consultas odontologicas,cirugia maxilo faciales,2005-06-01,1,1
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2005-06-01,24,24
SUCRE,consultas odontologicas,cirugia maxilo faciales,2005-06-01,22,22
TARIJA,consultas odontologicas,cirugia maxilo faciales,2005-06-01,2,2
UYUNI,consultas odontologicas,cirugia maxilo faciales,2005-06-01,1,1
VILLA TUNARI,consultas odontologicas,cirugia maxilo faciales,2005-06-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,cirugia maxilo faciales,2005-07-01,3,3
