municipality,group,variable,month,Endodoncias,TOTAL
ACHACACHI,consultas odontologicas,endodoncias,2005-01-01,4,4
AIQUILE,consultas odontologicas,endodoncias,2005-01-01,23,23
ARQUE,consultas odontologicas,endodoncias,2005-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,endodoncias,2005-01-01,7,7
BAURES,consultas odontologicas,endodoncias,2005-01-01,30,30
BOYUIBE,consultas odontologicas,endodoncias,2005-01-01,11,11
CAMARGO,consultas odontologicas,endodoncias,2005-01-01,30,30
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,endodoncias,2005-01-01,3,3
CAMIRI,consultas odontologicas,endodoncias,2005-01-01,34,34
CAPINOTA,consultas odontologicas,endodoncias,2005-01-01,13,13
CARACOLLO,consultas odontologicas,endodoncias,2005-01-01,2,2
CARANAVI,consultas odontologicas,endodoncias,2005-01-01,3,3
CHAYANTA,consultas odontologicas,endodoncias,2005-01-01,7,7
COBIJA,consultas odontologicas,endodoncias,2005-01-01,10,10
COCHABAMBA,consultas odontologicas,endodoncias,2005-01-01,320,320
COLQUECHACA,consultas odontologicas,endodoncias,2005-01-01,2,2
COLQUENCHA,consultas odontologicas,endodoncias,2005-01-01,2,2
CONCEPCION,consultas odontologicas,endodoncias,2005-01-01,2,2
COPACABANA,consultas odontologicas,endodoncias,2005-01-01,19,19
CULPINA,consultas odontologicas,endodoncias,2005-01-01,2,2
CURAHUARA DE CARANGAS,consultas odontologicas,endodoncias,2005-01-01,5,5
EL ALTO,consultas odontologicas,endodoncias,2005-01-01,1760,1760
EL PUENTE(TJA),consultas odontologicas,endodoncias,2005-01-01,1,1
ENTRE RIOS,consultas odontologicas,endodoncias,2005-01-01,8,8
GUANAY,consultas odontologicas,endodoncias,2005-01-01,2,2
GUAYARAMERIN,consultas odontologicas,endodoncias,2005-01-01,5,5
GUTIERREZ,consultas odontologicas,endodoncias,2005-01-01,8,8
HUARACAJE,consultas odontologicas,endodoncias,2005-01-01,20,20
HUAYLLAMARCA,consultas odontologicas,endodoncias,2005-01-01,4,4
LA PAZ,consultas odontologicas,endodoncias,2005-01-01,876,876
LAGUNILLAS,consultas odontologicas,endodoncias,2005-01-01,10,10
LICOMA PAMPA,consultas odontologicas,endodoncias,2005-01-01,2,2
LLALLAGUA,consultas odontologicas,endodoncias,2005-01-01,10,10
MACHACAMARCA,consultas odontologicas,endodoncias,2005-01-01,5,5
MACHARETI,consultas odontologicas,endodoncias,2005-01-01,14,14
MAGDALENA,consultas odontologicas,endodoncias,2005-01-01,29,29
MAPIRI,consultas odontologicas,endodoncias,2005-01-01,7,7
ORURO,consultas odontologicas,endodoncias,2005-01-01,203,203
PADILLA,consultas odontologicas,endodoncias,2005-01-01,5,5
POCOATA,consultas odontologicas,endodoncias,2005-01-01,2,2
POOPO,consultas odontologicas,endodoncias,2005-01-01,10,10
PORTACHUELO,consultas odontologicas,endodoncias,2005-01-01,1,1
PORVENIR,consultas odontologicas,endodoncias,2005-01-01,3,3
POTOSI,consultas odontologicas,endodoncias,2005-01-01,4,4
PUERTO VILLARROEL,consultas odontologicas,endodoncias,2005-01-01,4,4
PUNATA,consultas odontologicas,endodoncias,2005-01-01,62,62
QUIME,consultas odontologicas,endodoncias,2005-01-01,1,1
SACABA,consultas odontologicas,endodoncias,2005-01-01,17,17
SACABAMBA,consultas odontologicas,endodoncias,2005-01-01,3,3
SAN BENITO,consultas odontologicas,endodoncias,2005-01-01,1,1
SAN IGNACIO,consultas odontologicas,endodoncias,2005-01-01,6,6
SAN JAVIER(STC),consultas odontologicas,endodoncias,2005-01-01,2,2
SAN LUCAS,consultas odontologicas,endodoncias,2005-01-01,8,8
SAN RAMON,consultas odontologicas,endodoncias,2005-01-01,22,22
SANTA ANA,consultas odontologicas,endodoncias,2005-01-01,12,12
SANTA CRUZ DE LA SIERRA,consultas odontologicas,endodoncias,2005-01-01,72,72
SAPAHAQUI,consultas odontologicas,endodoncias,2005-01-01,1,1
SORACACHI,consultas odontologicas,endodoncias,2005-01-01,1,1
SORATA,consultas odontologicas,endodoncias,2005-01-01,29,29
SUCRE,consultas odontologicas,endodoncias,2005-01-01,29,29
TACACOMA,consultas odontologicas,endodoncias,2005-01-01,25,25
TACOPAYA,consultas odontologicas,endodoncias,2005-01-01,1,1
TARIJA,consultas odontologicas,endodoncias,2005-01-01,150,150
TIPUANI,consultas odontologicas,endodoncias,2005-01-01,4,4
TIRAQUE (CBBA),consultas odontologicas,endodoncias,2005-01-01,16,16
TOMINA,consultas odontologicas,endodoncias,2005-01-01,6,6
TRINIDAD,consultas odontologicas,endodoncias,2005-01-01,204,204
UNCIA,consultas odontologicas,endodoncias,2005-01-01,81,81
UYUNI,consultas odontologicas,endodoncias,2005-01-01,2,2
VILLA RIVERO,consultas odontologicas,endodoncias,2005-01-01,3,3
VILLA SERRANO,consultas odontologicas,endodoncias,2005-01-01,6,6
VILLA TUNARI,consultas odontologicas,endodoncias,2005-01-01,125,125
VILLA VACA GUZMAN (MUYUPAMPA),consultas odontologicas,endodoncias,2005-01-01,53,53
YACUIBA,consultas odontologicas,endodoncias,2005-01-01,10,10
ACHACACHI,consultas odontologicas,endodoncias,2005-02-01,16,16
AIQUILE,consultas odontologicas,endodoncias,2005-02-01,18,18
ARQUE,consultas odontologicas,endodoncias,2005-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,endodoncias,2005-02-01,6,6
BAURES,consultas odontologicas,endodoncias,2005-02-01,40,40
BOYUIBE,consultas odontologicas,endodoncias,2005-02-01,13,13
CABEZAS,consultas odontologicas,endodoncias,2005-02-01,19,19
CAMARGO,consultas odontologicas,endodoncias,2005-02-01,14,14
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,endodoncias,2005-02-01,4,4
CAMIRI,consultas odontologicas,endodoncias,2005-02-01,39,39
CARANAVI,consultas odontologicas,endodoncias,2005-02-01,40,40
CHALLAPATA,consultas odontologicas,endodoncias,2005-02-01,7,7
CHAYANTA,consultas odontologicas,endodoncias,2005-02-01,4,4
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,endodoncias,2005-02-01,8,8
COBIJA,consultas odontologicas,endodoncias,2005-02-01,16,16
COCHABAMBA,consultas odontologicas,endodoncias,2005-02-01,200,200
COLQUECHACA,consultas odontologicas,endodoncias,2005-02-01,2,2
COPACABANA,consultas odontologicas,endodoncias,2005-02-01,19,19
COROICO,consultas odontologicas,endodoncias,2005-02-01,1,1
CURAHUARA DE CARANGAS,consultas odontologicas,endodoncias,2005-02-01,4,4
EL ALTO,consultas odontologicas,endodoncias,2005-02-01,1195,1195
EL PUENTE(TJA),consultas odontologicas,endodoncias,2005-02-01,1,1
GUANAY,consultas odontologicas,endodoncias,2005-02-01,3,3
GUAYARAMERIN,consultas odontologicas,endodoncias,2005-02-01,5,5
GUTIERREZ,consultas odontologicas,endodoncias,2005-02-01,12,12
HUACHACALLA,consultas odontologicas,endodoncias,2005-02-01,1,1
HUANUNI,consultas odontologicas,endodoncias,2005-02-01,3,3
HUAYLLAMARCA,consultas odontologicas,endodoncias,2005-02-01,12,12
IRUPANA (VILLA DE LANZA),consultas odontologicas,endodoncias,2005-02-01,4,4
LA ASUNTA,consultas odontologicas,endodoncias,2005-02-01,1,1
LA PAZ,consultas odontologicas,endodoncias,2005-02-01,751,751
LAGUNILLAS,consultas odontologicas,endodoncias,2005-02-01,7,7
LLALLAGUA,consultas odontologicas,endodoncias,2005-02-01,2,2
MACHARETI,consultas odontologicas,endodoncias,2005-02-01,70,70
MAGDALENA,consultas odontologicas,endodoncias,2005-02-01,2,2
MAPIRI,consultas odontologicas,endodoncias,2005-02-01,7,7
MONTEAGUDO,consultas odontologicas,endodoncias,2005-02-01,64,64
OCURI,consultas odontologicas,endodoncias,2005-02-01,15,15
OMEREQUE,consultas odontologicas,endodoncias,2005-02-01,61,61
ORURO,consultas odontologicas,endodoncias,2005-02-01,142,142
PADILLA,consultas odontologicas,endodoncias,2005-02-01,1,1
PAZÑA,consultas odontologicas,endodoncias,2005-02-01,2,2
POCOATA,consultas odontologicas,endodoncias,2005-02-01,4,4
POTOSI,consultas odontologicas,endodoncias,2005-02-01,1,1
PUERTO GONZALO MORENO,consultas odontologicas,endodoncias,2005-02-01,34,34
