municipality,group,variable,month,N°de visitas familiares planificadas,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,5,5
ACHACACHI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,117,117
ACHOCALLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,15,15
AIQUILE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,284,284
ALALAY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,36,36
ALCALA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,152,152
ALTO BENI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,42,42
ANDAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,103,103
ANTEQUERA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,82,82
ANZALDO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,237,237
APOLO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,18,18
ARAMPAMPA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,137,137
ARANI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,164,164
ARBIETO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,556,556
ARQUE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,15,15
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,134,134
ATOCHA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,388,388
AUCAPATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,6,6
AYO AYO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,80,80
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,2,2
AZURDUY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,63,63
BATALLAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,30,30
BAURES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,38,38
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,62,62
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,50,50
BERMEJO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,210,210
BETANZOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,265,265
BOLIVAR,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,32,32
BOLPEBRA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,15,15
BOYUIBE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,3,3
BUENA VISTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,436,436
CABEZAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,166,166
CAIROMA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,1,1
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,115,115
CALAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,7,7
CAMARGO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,185,185
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,57,57
CAMIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,328,328
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,104,104
CARACOLLO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,51,51
CARANAVI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,40,40
CARAPARI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,10,10
CARIPUYO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,47,47
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,70,70
CHACARILLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,90,90
CHALLAPATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,529,529
CHAQUI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,102,102
CHARAGUA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,9,9
CHAYANTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,22,22
CHIMORE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,134,134
CHIPAYA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,3,3
CHUMA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,154,154
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,53,53
CKOCHAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,48,48
CLIZA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,285,285
COBIJA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,82,82
COCAPATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,34,34
COCHABAMBA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,86,86
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,349,349
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,8,8
COLLANA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,29,29
COLOMI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,5,5
COLPA BELGICA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,43,43
COLQUECHACA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,16,16
COLQUENCHA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,46,46
COLQUIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,5,5
COMANCHE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,33,33
COMARAPA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,438,438
CONCEPCION,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,360,360
COROICO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,65,65
CORQUE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,112,112
COTAGAITA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,445,445
COTOCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,302,302
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,121,121
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,24,24
CUEVO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,26,26
CULPINA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,130,130
CURVA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,15,15
EL ALTO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,830,830
EL CHORO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,62,62
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,204,204
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,228,228
EL TORNO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,502,502
EL VILLAR,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,163,163
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,519,519
ESCARA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,60,60
ESCOMA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,14,14
EUCALIPTUS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,54,54
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,298,298
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,206,206
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,2,2
GUAQUI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,71,71
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,278,278
GUTIERREZ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,97,97
HUACARETA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,66,66
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,93,93
HUANUNI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,163,163
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,130,130
HUMANATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,18,18
ICLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,125,125
INCAHUASI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,1140,1140
INGAVI (HUMAITA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,60,60
INQUISIVI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,4,4
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,59,59
IXIAMAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,7,7
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,95,95
LA GUARDIA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,276,276
LA PAZ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,79,79
LAGUNILLAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,238,238
LAJA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,55,55
LAS CARRERAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,17,17
LLALLAGUA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,186,186
LORETO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,121,121
LURIBAY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,8,8
MACHACAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,20,20
MACHARETI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,294,294
MAGDALENA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,10,10
MINEROS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,77,77
MOCOMOCO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,251,251
MOJINETE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,26,26
MOJOCOYA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,244,244
MONTEAGUDO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,470,470
MONTERO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,1123,1123
OCURI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,7,7
OMEREQUE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,202,202
ORURO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,2125,2125
PADCAYA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,249,249
PADILLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,204,204
PAILON,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,596,596
PALCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,190,190
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,38,38
PAMPA GRANDE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,53,53
PAPEL PAMPA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,60,60
PASORAPA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,42,42
PATACAMAYA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,3,3
PAZÑA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,73,73
PELECHUCO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,22,22
POCOATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,155,155
POCONA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,97,97
POJO (CBBA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,46,46
POOPO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,70,70
PORCO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,44,44
POROMA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,114,114
PORONGO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,336,336
PORVENIR,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,70,70
POSTRER VALLE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,41,41
POTOSI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,3882,3882
PRESTO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,136,136
PUCARA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,5,5
PUCARANI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,248,248
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,20,20
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,163,163
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,8,8
PUERTO PEREZ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,246,246
PUERTO RICO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,64,64
PUERTO SILES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,36,36
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,135,135
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,134,134
PUNA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,155,155
PUNATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,294,294
QUIABAYA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,4,4
QUILLACOLLO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,390,390
QUIME,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,100,100
QUIRUSILLAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,30,30
RAQAYPAMPA(ETA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,29,29
RAVELO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,393,393
REYES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,63,63
RIBERALTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,763,763
ROBORE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,105,105
RURRENABAQUE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,138,138
SABAYA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,20,20
SACABA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,315,315
SACABAMBA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,50,50
SACACA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,86,86
SAIPINA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,295,295
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,199,199
SAN AGUSTIN,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,7,7
SAN ANDRES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,44,44
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,103,103
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,7,7
SAN BENITO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,221,221
SAN BORJA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,303,303
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,30,30
SAN CARLOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,381,381
SAN IGNACIO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,47,47
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,156,156
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,3,3
SAN JOAQUIN,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,3,3
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,81,81
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,126,126
SAN JULIAN,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,519,519
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,86,86
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,34,34
SAN LUCAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,349,349
SAN MATIAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,45,45
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,184,184
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,27,27
SAN PEDRO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,56,56
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2019-01-01,82,82
