municipality,group,variable,month,Nº de actividades educativas en Salud,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,11,11
ACHACACHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,8,8
ACHOCALLA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,26,26
AIQUILE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,4,4
ALALAY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,3,3
ALCALA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,21,21
ALTO BENI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,8,8
ANCORAIMES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,1,1
ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,60,60
ANTEQUERA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,1,1
ANZALDO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,17,17
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,14,14
ARANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,5,5
ARBIETO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,12,12
ARQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,7,7
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,48,48
ATOCHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,6,6
AUCAPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,2,2
AYO AYO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,1,1
AZURDUY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,19,19
BATALLAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,1,1
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,10,10
BERMEJO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,4,4
BETANZOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,54,54
BOLIVAR,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,4,4
BUENA VISTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,14,14
CABEZAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,2,2
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2019-01-01,13,13
