municipality,group,variable,month,Nº de visitas familiares realizadas,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,126,126
ACHACACHI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,306,306
ACHOCALLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,102,102
AIQUILE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,235,235
ALALAY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,69,69
ALCALA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,156,156
ALTO BENI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,57,57
ANCORAIMES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,20,20
ANDAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,265,265
ANTEQUERA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,102,102
ANZALDO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,480,480
APOLO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,16,16
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,137,137
ARANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,139,139
ARBIETO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,700,700
ARQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,15,15
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,211,211
ATOCHA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,388,388
AUCAPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,58,58
AYO AYO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,570,570
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,3,3
AZURDUY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,83,83
BATALLAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,43,43
BAURES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,8,8
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,53,53
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,33,33
BERMEJO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,255,255
BETANZOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,244,244
BOLIVAR,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,224,224
BOLPEBRA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,26,26
BOYUIBE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,235,235
BUENA VISTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,241,241
CABEZAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,161,161
CAIROMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,14,14
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,876,876
CAJUATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,32,32
CALACOTO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2019-01-01,78,78
