municipality,group,variable,month,l 12.8 Nacidos muertos atendidos por partera capacitada,TOTAL
CARIPUYO,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-01-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-01-01,1,1
SAN IGNACIO,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-01-01,1,1
SAN LUCAS,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-01-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-01-01,0,0
ICLA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-02-01,1,1
SACACA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-02-01,1,1
SAN JULIAN,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-02-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-02-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-02-01,1,1
SENA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-02-01,1,1
TAPACARI,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-02-01,1,1
CKOCHAS,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-03-01,1,1
COLQUECHACA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-03-01,2,2
FERNANDEZ ALONSO,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-03-01,14,14
OCURI,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-03-01,1,1
RIBERALTA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-03-01,1,1
SAN ANDRES,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-03-01,1,1
SAN BORJA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-03-01,1,1
TINGUIPAYA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-03-01,1,1
YAPACANI,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-03-01,1,1
AZURDUY,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-04-01,1,1
CARIPUYO,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-04-01,1,1
CHARAGUA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-04-01,1,1
LORETO,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-04-01,1,1
ROBORE,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-04-01,1,1
SAN MATIAS,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-04-01,2,2
TAPACARI,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-04-01,3,3
TIPUANI,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-04-01,1,1
CHUMA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-05-01,1,1
COLQUECHACA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-05-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-05-01,1,1
OCURI,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-05-01,1,1
POCOATA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-05-01,1,1
RAVELO,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-05-01,1,1
SAN BORJA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-05-01,3,3
SAN JULIAN,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-05-01,1,1
SAN LUCAS,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-05-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-05-01,1,1
SUCRE,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-05-01,2,2
ICLA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-06-01,1,1
POCOATA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-06-01,1,1
SAN IGNACIO,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-06-01,1,1
SAN JAVIER(STC),atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-06-01,1,1
TUPIZA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-06-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-07-01,1,1
CALAMARCA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-07-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-07-01,1,1
COMARAPA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-07-01,1,1
COTOCA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-07-01,1,1
INCAHUASI,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-07-01,1,1
MOROCHATA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-07-01,1,1
TACOBAMBA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-07-01,2,2
TARVITA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-07-01,1,1
TOMAVE,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-07-01,1,1
VILLA TUNARI,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-07-01,1,1
ANDAMARCA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-08-01,1,1
ARQUE,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-08-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-08-01,1,1
BAURES,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-08-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-08-01,1,1
LA ASUNTA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-08-01,1,1
OCURI,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-08-01,2,2
SACABA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-08-01,1,1
SAN JOAQUIN,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-08-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-08-01,1,1
ANCORAIMES,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-09-01,2,2
ARAMPAMPA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-09-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-09-01,1,1
COLQUECHACA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-09-01,1,1
HUACARETA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-09-01,1,1
LA ASUNTA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-09-01,1,1
POCOATA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-09-01,2,2
TACOPAYA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-09-01,3,3
TIRAQUE (CBBA),atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-09-01,1,1
ACHACACHI,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-10-01,1,1
CULPINA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-10-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-10-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-10-01,1,1
TINGUIPAYA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-10-01,1,1
ALTO BENI,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-11-01,1,1
ARQUE,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-11-01,1,1
COLQUENCHA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-11-01,1,1
CORQUE,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-11-01,1,1
LORETO,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-11-01,1,1
POCOATA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-11-01,2,2
PORCO,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-11-01,1,1
POROMA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-11-01,2,2
QUIME,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-11-01,1,1
RAVELO,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-11-01,1,1
ARAMPAMPA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-12-01,1,1
CKOCHAS,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-12-01,1,1
ICLA,atencion de partos en domicilio,l 12.8       nacidos muertos atendidos por partera capacitada,2012-12-01,1,1
