municipality,group,variable,month,Nacidos muertos con peso menor a 2500 g.,TOTAL
CKOCHAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-01-01,1.0,1.0
COTAGAITA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-01-01,1.0,1.0
OCURI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-01-01,1.0,1.0
SABAYA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-01-01,1.0,1.0
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-01-01,0.0,0.0
YUNCHARA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-01-01,1.0,1.0
AUCAPATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-02-01,1.0,1.0
CULPINA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-02-01,1.0,1.0
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-02-01,1.0,1.0
TAPACARI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-02-01,1.0,1.0
CORO CORO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-03-01,1.0,1.0
TARABUCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-03-01,1.0,1.0
TARVITA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-03-01,1.0,1.0
CARACOLLO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-04-01,1.0,1.0
REYES,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-04-01,1.0,1.0
AYO AYO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-05-01,1.0,1.0
PADCAYA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-05-01,1.0,1.0
PUNA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-05-01,1.0,1.0
TACOBAMBA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-05-01,1.0,1.0
WARNES,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-05-01,1.0,1.0
PRESTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-06-01,1.0,1.0
TOMAVE,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-06-01,1.0,1.0
CARIPUYO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-07-01,1.0,1.0
ICLA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-07-01,1.0,1.0
MOROCHATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-07-01,1.0,1.0
PRESTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-07-01,1.0,1.0
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-09-01,1.0,1.0
IXIAMAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-10-01,1.0,1.0
RAVELO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-10-01,1.0,1.0
CALAMARCA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-11-01,1.0,1.0
PUERTO SUAREZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-11-01,1.0,1.0
TARABUCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-11-01,1.0,1.0
YUNCHARA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-11-01,1.0,1.0
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2012-12-01,1.0,1.0
