municipality,group,variable,month,Nacidos vivos con peso menor a 2500 g.,TOTAL
ALCALA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
ARQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
BOLIVAR,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
COBIJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
COLOMI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
CONCEPCION,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
ICLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
MACHARETI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
PAZÑA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
PORTACHUELO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
PRESTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
QUIABAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
RIBERALTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
SAN PABLO DE LIPEZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,0,0
TARABUCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
TARIJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
TIQUIPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
TRINIDAD,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
VILLA NUEVA (LOMA ALTA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
VILLA RIVERO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-01-01,1,1
BOLIVAR,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,1,1
CALACOTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,1,1
CARANGAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,2,2
CHAYANTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,2,2
COLQUECHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,1,1
CULPINA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,3,3
ENTRE RIOS CBBA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,1,1
MINEROS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,1,1
PAZÑA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,1,1
PUERTO RICO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,2,2
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,1,1
SACABA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,2,2
SIPE SIPE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,2,2
TAPACARI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,2,2
TARABUCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,2,2
TARVITA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,1,1
TOMAVE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,1,1
UMALA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-02-01,1,1
AIQUILE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,1,1
ANCORAIMES,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,1,1
APOLO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,2,2
AYATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,1,1
CAIROMA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,1,1
CAMARGO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,3,3
GUANAY,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,2,2
HUANUNI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,2,2
ICLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,3,3
LAJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,1,1
PASORAPA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,1,1
POCOATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,1,1
POROMA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,2,2
PUNA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,2,2
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,1,1
SAN PEDRO(PND),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,73,73
SAPAHAQUI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,1,1
TARABUCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,1,1
UNCIA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,2,2
YANACACHI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-03-01,1,1
APOLO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-04-01,1,1
ARQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-04-01,1,1
BOLIVAR,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-04-01,3,3
COCAPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-04-01,3,3
COROICO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-04-01,1,1
GUAQUI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-04-01,1,1
OCURI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-04-01,1,1
PRESTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-04-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-04-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-04-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-04-01,1,1
TARABUCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-04-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-04-01,1,1
VILLA CHARCAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-04-01,1,1
VILLA MONTES,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-04-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-04-01,1,1
YUNCHARA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-04-01,1,1
ANTEQUERA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
ARQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
AYATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
BELEN DE ANDAMARCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,2,2
BOLIVAR,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
CAIROMA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
COROICO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
HUACARETA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
MINEROS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
POCOATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
PUERTO CARABUCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
RURRENABAQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
SABAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,3,3
SAN ANDRES DE MACHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
SOPACHUY,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
VINTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-05-01,1,1
BERMEJO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-06-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2012-06-01,1,1
