municipality,group,variable,month,Nacidos vivos atendidos por personal de salud,TOTAL
ACACIO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,4,4
ACHACACHI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,18,18
ACHOCALLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,1,1
AIQUILE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,3,3
ALALAY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,2,2
ALCALA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,1,1
ALTO BENI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,6,6
ANCORAIMES,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,6,6
ANDAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,1,1
ANTEQUERA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,2,2
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,3,3
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,10,10
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,3,3
ARBIETO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,1,1
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,17,17
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,3,3
AYATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,14,14
AYO AYO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,14,14
AZURDUY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,9,9
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,8,8
BELEN DE URMIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,1,1
BERMEJO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,2,2
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,10,10
BOLIVAR,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,12,12
BOYUIBE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,5,5
CAIROMA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,6,6
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,5,5
CAJUATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,3,3
CALACOTO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,3,3
CALAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,6,6
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,2,2
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,2,2
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,5,5
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,11,11
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,8,8
CARAPARI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,20,20
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,1,1
CATACORA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,1,1
CHACARILLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,3,3
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,12,12
CHAQUI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,2,2
CHARAGUA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,5,5
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,12,12
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,1,1
CHOQUE COTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,1,1
CHUMA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,10,10
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,6,6
CKOCHAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,22,22
CLIZA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,2,2
COBIJA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,7,7
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,3,3
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,7,7
COLLANA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,2,2
COLOMI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,5,5
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,17,17
COLQUENCHA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,3,3
COLQUIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,24,24
COMANCHE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,2,2
COMBAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,4,4
CONCEPCION,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,2,2
COPACABANA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,1,1
CORIPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,4,4
CORO CORO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,5,5
CORQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,4,4
COTAGAITA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,9,9
COTOCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,2,2
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,1,1
CUEVO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,3,3
CULPINA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,4,4
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2012-01-01,3,3
