municipality,group,variable,month,Nacidos muertos atendidos por personal de salud,TOTAL
CKOCHAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-01-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-01-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-01-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-01-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-01-01,2,2
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-01-01,1,1
SABAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-01-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-01-01,0,0
TUPIZA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-01-01,1,1
YUNCHARA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-01-01,2,2
ARQUE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-02-01,1,1
AUCAPATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-02-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-02-01,1,1
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-02-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-02-01,3,3
LORETO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-02-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-02-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-02-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-02-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-02-01,1,1
ACACIO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-03-01,1,1
ACHOCALLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-03-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-03-01,1,1
CORO CORO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-03-01,1,1
FERNANDEZ ALONSO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-03-01,13,13
JESUS DE MACHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-03-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2012-03-01,1,1
