,group,variable,month,ANTIROTAVIRICA 2RA. DOSIS,ANTIROTAVIRICA 2RA. DOSIS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,5,7,12
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,49,25,74
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,17,3,20
AIQUILE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,27,14,41
ALALAY,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,4,5,9
ALCALA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,4,5,9
ALTO BENI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,17,1,18
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,11,5,16
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,4,3,7
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,7,0,7
ANZALDO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,9,10,19
APOLO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,17,12,29
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,0,2,2
ARANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,14,9,23
ARBIETO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,8,10,18
ARQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,19,4,23
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,34,0,34
ATOCHA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,16,3,19
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,3,0,3
AYATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,3,7,10
AYO AYO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,6,4,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,22,12,34
AZURDUY,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,9,13,22
BATALLAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,24,2,26
BAURES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,1,0,1
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,1,1,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,0,2,2
BELLA FLOR,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,1,0,1
BERMEJO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,38,12,50
BETANZOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,28,14,42
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,9,9,18
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,1,0,1
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,9,6,15
CABEZAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,28,1,29
CAIROMA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,11,4,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,12,3,15
CAJUATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,10,1,11
CALACOTO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,4,4,8
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,9,4,13
CAMARGO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,17,9,26
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,4,2,6
CAMIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,60,3,63
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,27,0,27
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,2,15,17
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,33,13,46
CARANAVI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,80,18,98
CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,16,8,24
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,0,15,15
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,2,15,17
CATACORA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,0,2,2
CHACARILLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,54,8,62
CHAQUI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,3,5,8
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,2,21,23
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,2,0,2
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,15,7,22
CHIMORE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,22,2,24
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,6,1,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,37,17,54
CHUMA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,11,3,14
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,7,3,10
CKOCHAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,6,10,16
CLIZA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,32,6,38
COBIJA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,76,7,83
COCAPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,6,24,30
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,1315,1,1316
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,98,0,98
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,12,6,18
COLLANA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,3,0,3
COLOMI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,36,1,37
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,14,1,15
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,18,45,63
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,14,1,15
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,21,24,45
COMANCHE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,2,5,7
COMARAPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,30,8,38
COMBAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,0,1,1
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,51,2,53
COPACABANA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,14,20,34
CORIPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,20,5,25
CORO CORO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,13,5,18
COROICO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,17,8,25
CORQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,7,3,10
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,18,13,31
COTOCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,123,7,130
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,11,16,27
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,1,0,1
CUEVO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,3,1,4
CULPINA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,19,13,32
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,1,3,4
CURVA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2011-01-01,2,1,3
