,group,variable,month,NEUMOCÓCICA 2DA. DOSIS,NEUMOCÓCICA 2DA. DOSIS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2011-01-01,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2011-02-01,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2011-03-01,0,0,0
VITICHI,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2011-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2011-04-01,0,0,0
COTAGAITA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2011-05-01,0,22,22
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2011-05-01,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2011-06-01,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2011-07-01,0,0,0
ATOCHA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2011-08-01,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2011-08-01,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2011-09-01,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2011-10-01,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2011-11-01,0,0,0
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2011-12-01,13,0,13
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2011-12-01,0,0,0
