,group,variable,month,(O.P.V.) ANTIPOLIOMIELÍTICA 1RA DOSIS,(O.P.V.) ANTIPOLIOMIELÍTICA 1RA DOSIS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,10,9,19
ACHACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,42,24,66
ACHOCALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,17,6,23
AIQUILE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,33,6,39
ALALAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,3,4,7
ALCALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,1,3,4
ALTO BENI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,17,0,17
ANCORAIMES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,10,8,18
ANDAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,2,1,3
ANTEQUERA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,4,1,5
ANZALDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,10,17,27
APOLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,22,4,26
ARAMPAMPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,4,6,10
ARANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,16,5,21
ARBIETO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,13,15,28
ARQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,17,4,21
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,51,2,53
ATOCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,25,6,31
AUCAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,3,0,3
AYATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,4,10,14
AYO AYO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,11,2,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,31,11,42
AZURDUY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,11,13,24
BATALLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,21,2,23
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,0,1,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,1,2,3
BELLA FLOR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,1,0,1
BERMEJO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,43,5,48
BETANZOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,42,17,59
BOLIVAR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,12,14,26
BOLPEBRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,1,0,1
BOYUIBE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,5,0,5
BUENA VISTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,21,6,27
CABEZAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,21,2,23
CAIROMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,7,3,10
"CAIZA ""D""",vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,12,4,16
CAJUATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,16,8,24
CALACOTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,4,2,6
CALAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,14,4,18
CAMARGO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,15,6,21
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,4,0,4
CAMIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,70,6,76
CAPINOTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,40,0,40
CAQUIAVIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,8,9,17
CARACOLLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,35,11,46
CARANAVI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,80,23,103
CARANGAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,20,11,31
CARIPUYO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,2,19,21
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,3,7,10
CATACORA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,0,1,1
CHACARILLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,2,1,3
CHALLAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,41,10,51
CHAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,7,10,17
CHARAGUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,4,23,27
CHARAÑA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,3,2,5
CHAYANTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,20,14,34
CHIMORE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,29,4,33
CHIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,6,2,8
CHOQUE COTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,33,9,42
CHUMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,29,13,42
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,19,2,21
CKOCHAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,11,15,26
CLIZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,39,6,45
COBIJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,77,10,87
COCAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,4,13,17
COCHABAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,1432,1,1433
COIPASA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,1,1,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,104,0,104
"COLCHA ""K""",vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,11,6,17
COLLANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,4,0,4
COLOMI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,33,7,40
COLPA BELGICA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,15,0,15
COLQUECHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,29,53,82
COLQUENCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,20,0,20
COLQUIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,12,32,44
COMANCHE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2011-01-01,2,5,7
