,group,variable,month,ANTIROTAVIRICA 1RA. DOSIS,ANTIROTAVIRICA 1RA. DOSIS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,10,8,18
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,40,21,61
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,16,4,20
AIQUILE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,32,6,38
ALALAY,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,3,4,7
ALCALA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,1,3,4
ALTO BENI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,18,0,18
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,12,7,19
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,1,3
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,4,1,5
ANZALDO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,10,17,27
APOLO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,22,4,26
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,4,5,9
ARANI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,16,5,21
ARBIETO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,14,16,30
ARQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,17,4,21
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,51,2,53
ATOCHA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,20,6,26
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,3,0,3
AYATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,4,10,14
AYO AYO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,11,3,14
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,31,11,42
AZURDUY,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,11,13,24
BATALLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,21,0,21
BAURES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,3,0,3
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,0,1,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,1,1,2
BELLA FLOR,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,1,0,1
BERMEJO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,46,5,51
BETANZOS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,43,19,62
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,12,14,26
BOLPEBRA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,1,0,1
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,5,0,5
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,18,4,22
CABEZAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,21,2,23
CAIROMA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,7,3,10
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,11,4,15
CAJUATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,17,5,22
CALACOTO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,4,2,6
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,9,3,12
CAMARGO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,15,6,21
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,4,0,4
CAMIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,71,6,77
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,41,0,41
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,8,9,17
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,35,11,46
CARANAVI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,80,24,104
CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,20,11,31
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,19,21
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,3,7,10
CATACORA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,0,1,1
CHACARILLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,1,3
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,39,10,49
CHAQUI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,7,11,18
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,3,28,31
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,3,2,5
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,20,14,34
CHIMORE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,30,3,33
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,6,0,6
CHOQUE COTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,34,16,50
CHUMA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,29,13,42
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,19,2,21
CKOCHAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,11,18,29
CLIZA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,39,6,45
COBIJA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,75,10,85
COCAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,17,19
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,1415,1,1416
COIPASA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,1,1,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,99,0,99
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,13,6,19
COLLANA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,4,0,4
COLOMI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,35,7,42
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,16,0,16
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,27,55,82
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,16,0,16
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,12,32,44
COMANCHE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,5,7
COMARAPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,40,6,46
COMBAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,0,2
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,50,2,52
COPACABANA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,15,12,27
CORIPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,19,3,22
CORO CORO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,6,9,15
COROICO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,14,5,19
CORQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,2,2,4
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,33,16,49
COTOCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,104,4,108
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,6,19,25
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,4,0,4
CUEVO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2011-01-01,3,4,7
