,group,variable,month,BCG,BCG,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en menores de 1 ano,bcg,2011-01-01,3,16,19
ACHACACHI,vacunaciones en menores de 1 ano,bcg,2011-01-01,65,20,85
ACHOCALLA,vacunaciones en menores de 1 ano,bcg,2011-01-01,13,2,15
AIQUILE,vacunaciones en menores de 1 ano,bcg,2011-01-01,43,7,50
ALALAY,vacunaciones en menores de 1 ano,bcg,2011-01-01,2,10,12
ALCALA,vacunaciones en menores de 1 ano,bcg,2011-01-01,6,1,7
ALTO BENI,vacunaciones en menores de 1 ano,bcg,2011-01-01,21,0,21
ANCORAIMES,vacunaciones en menores de 1 ano,bcg,2011-01-01,7,10,17
ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,3,3
ANZALDO,vacunaciones en menores de 1 ano,bcg,2011-01-01,4,9,13
APOLO,vacunaciones en menores de 1 ano,bcg,2011-01-01,25,7,32
ARAMPAMPA,vacunaciones en menores de 1 ano,bcg,2011-01-01,2,1,3
ARANI,vacunaciones en menores de 1 ano,bcg,2011-01-01,13,3,16
ARBIETO,vacunaciones en menores de 1 ano,bcg,2011-01-01,6,11,17
ARQUE,vacunaciones en menores de 1 ano,bcg,2011-01-01,26,6,32
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,bcg,2011-01-01,56,1,57
ATOCHA,vacunaciones en menores de 1 ano,bcg,2011-01-01,19,11,30
AUCAPATA,vacunaciones en menores de 1 ano,bcg,2011-01-01,3,0,3
AYATA,vacunaciones en menores de 1 ano,bcg,2011-01-01,3,6,9
AYO AYO,vacunaciones en menores de 1 ano,bcg,2011-01-01,9,4,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,bcg,2011-01-01,25,8,33
AZURDUY,vacunaciones en menores de 1 ano,bcg,2011-01-01,3,10,13
BATALLAS,vacunaciones en menores de 1 ano,bcg,2011-01-01,15,2,17
BAURES,vacunaciones en menores de 1 ano,bcg,2011-01-01,11,0,11
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2011-01-01,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,bcg,2011-01-01,2,1,3
BELLA FLOR,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,1,1
BERMEJO,vacunaciones en menores de 1 ano,bcg,2011-01-01,67,1,68
BETANZOS,vacunaciones en menores de 1 ano,bcg,2011-01-01,18,28,46
BOLIVAR,vacunaciones en menores de 1 ano,bcg,2011-01-01,1,26,27
BOYUIBE,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,7,7
BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2011-01-01,19,8,27
CABEZAS,vacunaciones en menores de 1 ano,bcg,2011-01-01,17,19,36
CAIROMA,vacunaciones en menores de 1 ano,bcg,2011-01-01,10,8,18
"CAIZA ""D""",vacunaciones en menores de 1 ano,bcg,2011-01-01,9,6,15
CAJUATA,vacunaciones en menores de 1 ano,bcg,2011-01-01,12,15,27
CALACOTO,vacunaciones en menores de 1 ano,bcg,2011-01-01,1,6,7
CALAMARCA,vacunaciones en menores de 1 ano,bcg,2011-01-01,8,11,19
CAMARGO,vacunaciones en menores de 1 ano,bcg,2011-01-01,33,5,38
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,bcg,2011-01-01,3,0,3
CAMIRI,vacunaciones en menores de 1 ano,bcg,2011-01-01,80,2,82
CAPINOTA,vacunaciones en menores de 1 ano,bcg,2011-01-01,31,0,31
CAQUIAVIRI,vacunaciones en menores de 1 ano,bcg,2011-01-01,3,6,9
CARACOLLO,vacunaciones en menores de 1 ano,bcg,2011-01-01,25,12,37
CARANAVI,vacunaciones en menores de 1 ano,bcg,2011-01-01,97,27,124
CARAPARI,vacunaciones en menores de 1 ano,bcg,2011-01-01,13,2,15
CARIPUYO,vacunaciones en menores de 1 ano,bcg,2011-01-01,1,12,13
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,bcg,2011-01-01,11,6,17
CHACARILLA,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,3,3
CHALLAPATA,vacunaciones en menores de 1 ano,bcg,2011-01-01,47,20,67
CHAQUI,vacunaciones en menores de 1 ano,bcg,2011-01-01,10,8,18
CHARAGUA,vacunaciones en menores de 1 ano,bcg,2011-01-01,17,34,51
CHAYANTA,vacunaciones en menores de 1 ano,bcg,2011-01-01,15,22,37
CHIMORE,vacunaciones en menores de 1 ano,bcg,2011-01-01,23,2,25
CHIPAYA,vacunaciones en menores de 1 ano,bcg,2011-01-01,4,1,5
CHOQUE COTA,vacunaciones en menores de 1 ano,bcg,2011-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,bcg,2011-01-01,40,6,46
CHUMA,vacunaciones en menores de 1 ano,bcg,2011-01-01,19,8,27
CKOCHAS,vacunaciones en menores de 1 ano,bcg,2011-01-01,3,12,15
CLIZA,vacunaciones en menores de 1 ano,bcg,2011-01-01,20,6,26
COBIJA,vacunaciones en menores de 1 ano,bcg,2011-01-01,127,8,135
COCAPATA,vacunaciones en menores de 1 ano,bcg,2011-01-01,3,11,14
COCHABAMBA,vacunaciones en menores de 1 ano,bcg,2011-01-01,1529,29,1558
COIPASA,vacunaciones en menores de 1 ano,bcg,2011-01-01,2,0,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,bcg,2011-01-01,75,0,75
"COLCHA ""K""",vacunaciones en menores de 1 ano,bcg,2011-01-01,8,0,8
COLLANA,vacunaciones en menores de 1 ano,bcg,2011-01-01,6,0,6
COLOMI,vacunaciones en menores de 1 ano,bcg,2011-01-01,33,3,36
COLPA BELGICA,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,4,4
COLQUECHACA,vacunaciones en menores de 1 ano,bcg,2011-01-01,20,57,77
COLQUENCHA,vacunaciones en menores de 1 ano,bcg,2011-01-01,1,5,6
COLQUIRI,vacunaciones en menores de 1 ano,bcg,2011-01-01,11,43,54
COMANCHE,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,7,7
COMARAPA,vacunaciones en menores de 1 ano,bcg,2011-01-01,34,7,41
CONCEPCION,vacunaciones en menores de 1 ano,bcg,2011-01-01,55,3,58
COPACABANA,vacunaciones en menores de 1 ano,bcg,2011-01-01,21,8,29
CORIPATA,vacunaciones en menores de 1 ano,bcg,2011-01-01,6,5,11
CORO CORO,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,13,13
COROICO,vacunaciones en menores de 1 ano,bcg,2011-01-01,28,4,32
CORQUE,vacunaciones en menores de 1 ano,bcg,2011-01-01,4,3,7
COTAGAITA,vacunaciones en menores de 1 ano,bcg,2011-01-01,18,8,26
COTOCA,vacunaciones en menores de 1 ano,bcg,2011-01-01,96,5,101
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,bcg,2011-01-01,16,21,37
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,bcg,2011-01-01,2,0,2
CUEVO,vacunaciones en menores de 1 ano,bcg,2011-01-01,2,6,8
CULPINA,vacunaciones en menores de 1 ano,bcg,2011-01-01,31,4,35
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,bcg,2011-01-01,3,12,15
DESAGUADERO,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,6,6
EL ALTO,vacunaciones en menores de 1 ano,bcg,2011-01-01,1799,48,1847
EL CHORO,vacunaciones en menores de 1 ano,bcg,2011-01-01,3,2,5
EL PUENTE(STC),vacunaciones en menores de 1 ano,bcg,2011-01-01,23,0,23
EL PUENTE(TJA),vacunaciones en menores de 1 ano,bcg,2011-01-01,17,5,22
EL TORNO,vacunaciones en menores de 1 ano,bcg,2011-01-01,94,0,94
EL VILLAR,vacunaciones en menores de 1 ano,bcg,2011-01-01,4,0,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,bcg,2011-01-01,15,13,28
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,bcg,2011-01-01,28,9,37
ESCOMA,vacunaciones en menores de 1 ano,bcg,2011-01-01,6,0,6
EUCALIPTUS,vacunaciones en menores de 1 ano,bcg,2011-01-01,3,2,5
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,bcg,2011-01-01,1,3,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,bcg,2011-01-01,13,5,18
FILADELFIA,vacunaciones en menores de 1 ano,bcg,2011-01-01,2,4,6
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,bcg,2011-01-01,30,2,32
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,bcg,2011-01-01,1,18,19
GUANAY,vacunaciones en menores de 1 ano,bcg,2011-01-01,12,4,16
GUAQUI,vacunaciones en menores de 1 ano,bcg,2011-01-01,2,5,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,bcg,2011-01-01,103,6,109
GUTIERREZ,vacunaciones en menores de 1 ano,bcg,2011-01-01,16,3,19
HUACARETA,vacunaciones en menores de 1 ano,bcg,2011-01-01,11,1,12
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,bcg,2011-01-01,0,6,6
HUANUNI,vacunaciones en menores de 1 ano,bcg,2011-01-01,37,2,39
HUARACAJE,vacunaciones en menores de 1 ano,bcg,2011-01-01,7,0,7
HUARINA,vacunaciones en menores de 1 ano,bcg,2011-01-01,3,6,9
HUAYLLAMARCA,vacunaciones en menores de 1 ano,bcg,2011-01-01,1,1,2
HUMANATA,vacunaciones en menores de 1 ano,bcg,2011-01-01,2,10,12
ICHOCA,vacunaciones en menores de 1 ano,bcg,2011-01-01,0,5,5
ICLA,vacunaciones en menores de 1 ano,bcg,2011-01-01,5,2,7
INCAHUASI,vacunaciones en menores de 1 ano,bcg,2011-01-01,13,8,21
