,group,variable,month,NEUMOCÓCICA 3RA. DOSIS,NEUMOCÓCICA 3RA. DOSIS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 3ra. dosis,2011-01-01,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 3ra. dosis,2011-02-01,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 3ra. dosis,2011-03-01,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 3ra. dosis,2011-04-01,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 3ra. dosis,2011-05-01,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 3ra. dosis,2011-06-01,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 3ra. dosis,2011-07-01,0,0,0
MINEROS,vacunaciones en menores de 1 ano,neumococica 3ra. dosis,2011-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 3ra. dosis,2011-08-01,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 3ra. dosis,2011-09-01,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 3ra. dosis,2011-10-01,20,0,20
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 3ra. dosis,2011-11-01,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 3ra. dosis,2011-12-01,0,0,0
