,group,variable,month,PENTAVALENTE 2DA. DOSIS,PENTAVALENTE 2DA. DOSIS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,5,6,11
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,50,16,66
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,19,3,22
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,35,13,48
ALALAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,4,5,9
ALCALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,4,5,9
ALTO BENI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,21,1,22
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,13,5,18
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,4,3,7
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,7,1,8
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,9,10,19
APOLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,16,12,28
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,0,1,1
ARANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,14,9,23
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,6,13,19
ARQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,21,4,25
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,34,0,34
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,17,3,20
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,4,0,4
AYATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,3,7,10
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,7,5,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,18,14,32
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,10,14,24
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,23,3,26
BAURES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,3,0,3
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,1,1,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,0,2,2
BELLA FLOR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,1,0,1
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,36,10,46
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,30,14,44
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,9,9,18
BOLPEBRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,2,0,2
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,1,0,1
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,13,6,19
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,32,1,33
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,11,4,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,12,4,16
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,10,1,11
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,4,2,6
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,8,8,16
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,17,8,25
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,4,2,6
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,68,2,70
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,24,0,24
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,2,15,17
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,33,13,46
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,80,16,96
CARANGAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,16,9,25
CARIPUYO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,0,15,15
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,3,12,15
CATACORA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,0,2,2
CHACARILLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,59,8,67
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,5,7,12
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,2,24,26
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,2,0,2
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,15,10,25
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,22,2,24
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,6,1,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,33,18,51
CHUMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,11,3,14
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,6,3,9
CKOCHAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,5,11,16
CLIZA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,32,6,38
COBIJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,76,7,83
COCAPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,9,22,31
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,1375,1,1376
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,110,0,110
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,16,8,24
COLLANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,4,0,4
COLOMI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,38,1,39
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,12,2,14
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,16,45,61
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,15,1,16
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,21,29,50
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,2,7,9
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,29,8,37
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,0,1,1
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,51,2,53
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,17,11,28
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,20,5,25
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,13,5,18
COROICO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,17,5,22
CORQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,7,3,10
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,19,13,32
COTOCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,114,6,120
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,9,21,30
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,3,0,3
CUEVO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,3,1,4
CULPINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,18,13,31
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,1,3,4
CURVA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,2,1,3
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,8,0,8
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,1583,27,1610
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2011-01-01,4,4,8
