,group,variable,month,NEUMOCÓCICA 1RA. DOSIS,NEUMOCÓCICA 1RA. DOSIS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
LLALLAGUA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-01-01,0,4,4
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-01-01,0,0,0
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-02-01,0,3,3
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-02-01,0,0,0
COTAGAITA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-03-01,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-03-01,0,0,0
VITICHI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-03-01,2,2,4
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-04-01,0,0,0
CARAPARI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-05-01,1,15,16
COTAGAITA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-05-01,0,8,8
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-05-01,0,0,0
SAN RAMON BENI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-06-01,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-07-01,16,0,16
LA PAZ,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-08-01,17,0,17
PAILON,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-08-01,4,0,4
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-08-01,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-09-01,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-10-01,0,0,0
COTAGAITA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-11-01,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-11-01,17,0,17
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-12-01,8,0,8
LLALLAGUA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-12-01,1,0,1
MONTERO,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-12-01,6,0,6
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2011-12-01,0,0,0
