,group,variable,month,PENTAVALENTE 3RA. DOSIS,PENTAVALENTE 3RA. DOSIS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,3,11,14
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,36,26,62
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,12,9,21
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,25,17,42
ALALAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,3,2,5
ALCALA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,5,3,8
ALTO BENI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,29,1,30
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,4,9,13
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,5,5,10
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,5,1,6
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,14,8,22
APOLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,23,9,32
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,2,8,10
ARANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,13,6,19
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,11,13,24
ARQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,13,1,14
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,32,1,33
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,20,6,26
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,4,0,4
AYATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,11,5,16
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,9,3,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,19,10,29
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,16,13,29
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,16,4,20
BAURES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,2,0,2
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,0,2,2
BELLA FLOR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,5,0,5
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,41,10,51
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,40,16,56
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,4,4,8
BOLPEBRA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,2,0,2
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,3,1,4
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,13,6,19
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,29,1,30
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,12,2,14
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,12,3,15
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,9,5,14
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,3,4,7
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,16,5,21
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,17,3,20
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,5,2,7
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,58,2,60
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,43,0,43
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,8,9,17
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,29,10,39
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,68,17,85
CARANGAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,17,4,21
CARIPUYO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,1,17,18
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,5,6,11
CATACORA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,1,1,2
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,37,14,51
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,8,3,11
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,1,17,18
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,1,0,1
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,15,16,31
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,25,5,30
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,8,2,10
CHOQUE COTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,25,16,41
CHUMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,13,4,17
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,15,1,16
CKOCHAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,14,23,37
CLIZA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,31,7,38
COBIJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,51,5,56
COCAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,11,17,28
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,1293,4,1297
COIPASA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,110,0,110
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,7,3,10
COLLANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,4,0,4
COLOMI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,35,6,41
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,13,0,13
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,14,41,55
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,15,0,15
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,9,27,36
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,1,6,7
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,21,2,23
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,0,1,1
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,48,3,51
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,10,9,19
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,18,6,24
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,6,4,10
COROICO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,14,9,23
CORQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,5,5,10
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,15,7,22
COTOCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,112,2,114
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,13,20,33
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,5,0,5
CULPINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,19,6,25
CURVA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,1,3,4
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,6,4,10
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,1371,27,1398
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2011-01-01,5,5,10
