,group,variable,month,DIU: USUARIAS CONTINUAS 10 A 14,DIU: USUARIAS CONTINUAS 15 A 19,DIU: USUARIAS CONTINUAS 20 A 34,DIU: USUARIAS CONTINUAS 35 A 49,DIU: USUARIAS CONTINUAS 50 Y +,DIU: USUARIAS CONTINUAS < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,0,2,0,0,2
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,0,4,0,0,4
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,1,0,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,9,35,25,6,0,75
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,1,0,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,3,9,2,0,14
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,0,0,1,0,1
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,2,0,0,0,2
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,4,49,33,6,0,92
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,0,1,2,0,3
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,0,1,1,0,2
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,1,1,0,0,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,4,27,7,0,0,38
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
PASORAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,1,0,1,0,0,2
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,13,12,0,0,25
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,11,4,0,0,15
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,0,2,1,0,3
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,1,7,2,0,0,10
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,3,1,1,0,0,5
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,2,1,0,0,3
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
SAN RAMON BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,4,34,40,11,0,89
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,1,4,22,15,0,0,42
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,4,6,0,0,10
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,0,2,0,0,2
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,1,2,0,0,3
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,2,3,1,0,0,6
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,3,1,0,0,4
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,3,4,5,0,12
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,0,2,3,0,5
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,21,25,6,0,52
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,1,0,3,0,0,4
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,5,9,0,0,14
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,2,0,0,0,2
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
HUMANATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,1,28,72,5,0,106
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,1,1,0,0,2
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,0,2,0,0,2
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,0,2,1,0,0,3
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias continuas,2024-02-01,0,9,24,5,0,0,38
