,group,variable,month,NÚMERO DE DIU'S RETIRADOS 10 A 14,NÚMERO DE DIU'S RETIRADOS 15 A 19,NÚMERO DE DIU'S RETIRADOS 20 A 34,NÚMERO DE DIU'S RETIRADOS 35 A 49,NÚMERO DE DIU'S RETIRADOS 50 Y +,NÚMERO DE DIU'S RETIRADOS < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,0,1,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,6,0,0,0,6
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,0,8,4,0,12
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,0,0,0,1
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,0,0,0,1
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,0,1,0,0,1
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,4,21,16,11,1,53
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,5,7,2,0,0,14
COLPA BELGICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,0,0,0,1
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,0,0,0,1
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,1,0,0,2
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,3,2,0,0,5
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,1,25,6,0,0,32
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,1,3,0,0,0,4
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,1,0,0,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,0,1,0,0,1
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,0,1,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,3,8,11,7,0,29
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,3,0,0,0,3
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,0,1,0,0,1
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,1,0,3,2,0,6
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,0,1,0,2
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,0,0,0,1
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,0,0,1,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,0,0,0,1
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,2,13,6,0,0,21
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,1,34,11,2,0,48
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,0,3,0,0,3
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,2,0,0,0,2
PASORAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,1,2,2,0,0,5
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,3,2,0,0,0,5
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,2,2,0,0,4
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,0,0,1,0,1
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,1,0,0,2
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,2,0,0,0,2
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,3,5,0,0,8
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,0,0,1,0,1
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,11,4,0,0,15
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,2,4,0,0,6
SAIPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,0,0,0,1
SAN ANTONIO DE LOMERIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,0,0,0,1
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,0,1,0,0,1
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,0,0,0,1
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,0,3,0,0,3
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,1,0,0,2
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,0,1,0,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,1,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,3,16,18,10,1,48
SANTIVAÑES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,1,0,0,0,1
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu's retirados,2024-01-01,0,0,2,0,0,0,2
