,group,variable,month,NÚMERO DE MUJERES CON MUESTRAS DE PAP TOMADAS 10 A 14,NÚMERO DE MUJERES CON MUESTRAS DE PAP TOMADAS 15 A 19,NÚMERO DE MUJERES CON MUESTRAS DE PAP TOMADAS 20 A 34,NÚMERO DE MUJERES CON MUESTRAS DE PAP TOMADAS 35 A 49,NÚMERO DE MUJERES CON MUESTRAS DE PAP TOMADAS 50 Y +,NÚMERO DE MUJERES CON MUESTRAS DE PAP TOMADAS < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
ACACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,3,1,0,0,6
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,43,30,14,0,88
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,77,45,12,0,136
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,3,28,16,16,0,63
ALALAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,1,0,0,0,1
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,5,10,13,1,0,29
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,7,28,21,8,0,64
ANCORAIMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,3,1,2,0,6
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,0,0,0,0,1
ANZALDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,9,15,7,0,31
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,9,7,0,0,17
ARAMPAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,3,3,1,0,7
ARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,1,6,6,0,13
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,3,18,7,2,0,30
ARQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,4,1,0,0,5
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,13,67,37,4,121
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,4,23,25,8,61
AUCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,17,10,3,0,30
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,1,2,1,0,4
AYO AYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,3,3,0,0,6
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,2,2,0,0,4
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,1,5,16,16,12,0,50
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,4,47,14,3,0,68
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,3,1,2,0,8
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,38,31,20,0,89
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,4,34,33,18,0,89
BOLIVAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,0,2,0,0,2
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,1,1,0,0,2
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,0,6,11,0,17
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,0,8,6,1,15
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,0,2,0,0,2
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,2,18,7,3,0,30
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,4,3,2,0,9
CALACOTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,0,0,1,0,1
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,6,5,4,0,16
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,1,15,14,17,0,47
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,3,0,0,0,3
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,0,4,5,3,12
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,7,9,3,0,19
CAQUIAVIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,2,7,1,0,10
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,11,9,8,0,28
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,6,58,41,24,0,129
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,3,4,2,0,9
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,5,12,6,3,0,26
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,1,9,5,2,17
CATACORA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con muestras de pap tomadas,2024-01-01,0,0,0,0,2,0,2
