,group,variable,month,PÍLDORA: USUARIAS NUEVAS 10 A 14,PÍLDORA: USUARIAS NUEVAS 15 A 19,PÍLDORA: USUARIAS NUEVAS 20 A 34,PÍLDORA: USUARIAS NUEVAS 35 A 49,PÍLDORA: USUARIAS NUEVAS 50 Y +,PÍLDORA: USUARIAS NUEVAS < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,1,1,2,0,0,4
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,7,3,1,0,11
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,2,1,0,0,0,3
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,1,0,1,0,0,2
ANCORAIMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,1,3,3,0,0,7
ARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,3,4,3,0,10
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,1,0,2,0,0,3
ARQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,3,0,0,0,3
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,1,9,4,0,14
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,1,0,2,0,0,3
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
AYO AYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,1,0,1,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,2,1,0,0,3
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,0,2,0,0,2
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
BAURES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,0,4,1,0,5
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,2,1,0,0,3
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,4,0,0,0,4
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,1,9,0,3,13
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,8,4,2,0,14
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,3,1,0,0,4
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,3,0,0,0,3
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,1,1,7,2,0,0,11
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,3,2,0,0,5
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,4,0,0,0,0,4
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,8,10,0,0,18
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,9,0,0,0,9
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,1,10,4,1,0,16
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,3,0,0,0,3
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,2,2,0,0,4
CATACORA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
CHACARILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,1,1,0,0,2
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
CHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
CHARAÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,5,0,0,0,5
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,14,3,0,0,17
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,2,2,1,0,5
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,1,1,1,0,3
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,1,2,2,0,0,5
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,1,1,4,1,0,0,7
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",pildora: usuarias nuevas,2024-01-01,0,0,18,13,0,0,31
