,group,variable,month,NÚMERO DE IMPLANTES INSERTADOS 10 A 14,NÚMERO DE IMPLANTES INSERTADOS 15 A 19,NÚMERO DE IMPLANTES INSERTADOS 20 A 34,NÚMERO DE IMPLANTES INSERTADOS 35 A 49,NÚMERO DE IMPLANTES INSERTADOS 50 Y +,NÚMERO DE IMPLANTES INSERTADOS < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
ACACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,2,0,0,0,2
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,7,0,0,0,8
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,2,6,6,0,0,14
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,5,20,2,0,0,27
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,2,0,0,0,3
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,3,8,0,0,0,11
ANCORAIMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,0,0,0,1
ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,1,0,0,2
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,4,0,0,0,5
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,4,24,3,1,0,32
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,4,3,0,0,7
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,0,3,1,0,4
AYO AYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,0,2,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,3,3,0,0,6
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,3,0,0,4
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,2,11,2,0,0,15
BAURES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,1,0,0,2
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,2,0,0,0,0,2
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,4,5,2,0,0,11
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,2,0,0,0,2
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,2,6,0,0,0,8
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,0,6,1,0,7
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,0,2,0,0,2
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,3,0,0,0,4
CALACOTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,0,1,0,0,1
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,0,0,0,0,1
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,2,10,3,0,0,15
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,2,0,0,3
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,5,1,0,7
CAQUIAVIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,0,1,0,0,1
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,11,1,0,0,13
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,2,16,3,0,0,21
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,4,1,0,0,6
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,2,0,0,0,2
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,8,2,0,11
CHACARILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,0,2,0,0,2
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,12,2,0,0,14
CHARAÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,2,0,0,0,2
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,7,1,0,0,8
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,1,1,18,7,0,0,27
CHOQUE COTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,2,0,0,3
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,2,3,2,0,0,7
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,0,0,0,1
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,7,1,0,0,9
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,4,0,0,0,5
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,2,7,22,7,0,0,38
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,9,3,0,0,12
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,14,103,71,12,0,200
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,3,4,8,0,0,15
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,11,0,0,0,12
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,3,1,0,0,5
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,2,0,0,0,2
COPACABANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,1,0,0,2
