,group,variable,month,NÚMERO DE CICLOS ENTREGADOS 10 A 14,NÚMERO DE CICLOS ENTREGADOS 15 A 19,NÚMERO DE CICLOS ENTREGADOS 20 A 34,NÚMERO DE CICLOS ENTREGADOS 35 A 49,NÚMERO DE CICLOS ENTREGADOS 50 Y +,NÚMERO DE CICLOS ENTREGADOS < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,3,6,0,0,12
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,39,24,3,0,69
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,6,3,0,0,0,9
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,6,33,6,0,0,45
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,6,3,0,12
ANCORAIMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,0,3,0,0,3
ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,6,3,0,0,9
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,6,3,0,0,9
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,6,18,18,0,0,42
ARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,9,18,3,0,30
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,12,12,0,0,27
ARQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,15,3,0,0,18
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,18,30,9,0,57
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,0,11,1,0,12
AUCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,9,12,0,24
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,12,9,0,0,21
AYO AYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,0,3,0,0,6
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,3,3,30,12,0,0,48
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,0,12,3,0,15
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,6,9,0,0,15
BAURES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,5,2,0,10
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,9,0,3,3,0,15
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,18,6,0,0,27
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,21,0,0,0,21
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,15,0,0,0,15
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,12,0,0,0,12
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,9,45,3,9,66
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,36,54,12,0,102
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,0,3,0,0,3
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,9,9,3,0,21
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,12,6,0,0,18
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,6,3,0,0,9
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,6,3,21,9,0,0,39
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,3,0,0,6
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,22,3,0,28
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,4,0,3,3,0,10
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,36,45,0,0,81
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,30,15,3,0,48
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,6,57,36,6,0,105
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,9,6,0,0,15
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,6,12,12,0,30
CATACORA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,0,3,0,0,3
CHACARILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,6,0,0,9
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,6,3,0,0,9
CHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,3,0,0,6
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,30,24,3,0,57
CHARAÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,3,0,0,6
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,15,0,0,0,15
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,9,96,30,0,0,135
CHUA COCANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,6,0,0,9
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,9,6,0,0,15
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,9,18,3,0,30
