,group,variable,month,AQV MASCULINO 10 A 14,AQV MASCULINO 15 A 19,AQV MASCULINO 20 A 34,AQV MASCULINO 35 A 49,AQV MASCULINO 50 Y +,AQV MASCULINO < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-01-01,0,0,14,6,5,0,25
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-01-01,0,0,1,1,0,0,2
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-01-01,0,0,0,14,6,0,20
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-01-01,0,0,0,3,0,0,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-01-01,0,0,0,3,1,1,5
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-01-01,0,0,2,3,0,0,5
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-01-01,0,0,0,1,2,0,3
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-01-01,0,1,3,3,0,0,7
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-02-01,0,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-02-01,0,0,0,30,26,0,56
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-02-01,0,0,0,2,0,0,2
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-02-01,0,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-02-01,0,0,0,2,7,0,9
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-02-01,0,0,7,5,0,0,12
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-02-01,0,0,0,12,26,1,39
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-02-01,0,1,7,4,0,0,12
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-03-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-03-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-03-01,0,10,12,7,0,0,29
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-03-01,0,0,2,7,0,0,9
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-03-01,0,3,3,2,0,0,8
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-03-01,0,1,1,1,0,0,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-03-01,0,0,0,1,25,0,26
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-03-01,0,0,10,12,0,0,22
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-03-01,0,0,2,0,0,0,2
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-04-01,0,0,4,3,0,0,7
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-04-01,0,0,0,3,0,0,3
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-04-01,0,2,18,11,1,0,32
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-04-01,0,0,0,4,0,0,4
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-04-01,0,1,3,5,0,0,9
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-04-01,0,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-04-01,0,0,5,11,37,0,53
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-04-01,0,0,4,2,0,0,6
ARAMPAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-05-01,0,0,0,1,0,0,1
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-05-01,0,0,3,1,0,0,4
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-05-01,0,1,11,5,1,0,18
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-05-01,0,0,0,6,0,0,6
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-05-01,0,0,4,2,0,0,6
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-05-01,0,0,1,1,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-05-01,0,0,13,10,10,0,33
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-05-01,0,0,3,4,0,0,7
TACACOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-05-01,1,8,1,0,0,0,10
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-06-01,0,0,1,2,0,0,3
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-06-01,0,0,2,2,0,0,4
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-06-01,0,0,1,3,0,0,4
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-06-01,0,1,9,0,0,0,10
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-06-01,0,0,23,29,6,0,58
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-06-01,0,0,2,2,0,0,4
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-06-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-06-01,0,0,16,25,2,0,43
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-06-01,0,1,15,6,1,0,23
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-06-01,0,0,20,20,2,0,42
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-07-01,0,0,1,1,0,0,2
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-07-01,0,0,8,2,1,0,11
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-07-01,0,0,12,20,2,0,34
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-07-01,0,1,4,2,0,0,7
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-07-01,0,0,33,0,0,0,33
