,group,variable,month,CONDÓN FEMENINO: USUARIAS NUEVAS 10 A 14,CONDÓN FEMENINO: USUARIAS NUEVAS 15 A 19,CONDÓN FEMENINO: USUARIAS NUEVAS 20 A 34,CONDÓN FEMENINO: USUARIAS NUEVAS 35 A 49,CONDÓN FEMENINO: USUARIAS NUEVAS 50 Y +,CONDÓN FEMENINO: USUARIAS NUEVAS < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,0,0,0,1,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,2,2,2,0,0,6
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,0,24,0,0,0,24
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,0,0,0,1,0,1
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,1,0,0,0,0,1
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,0,0,12,0,0,12
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,1,12,5,0,0,18
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,0,12,0,0,0,12
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,0,1,12,0,0,13
PASORAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,0,12,12,0,0,24
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,1,0,0,0,0,1
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,0,0,2,0,0,2
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,0,0,60,0,0,60
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,0,0,3,1,0,4
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,2,0,0,0,0,2
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,0,0,0,1,0,1
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,1,0,1,0,0,2
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-02-01,0,1,1,0,0,0,2
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-02-01,0,0,1,1,0,0,2
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-02-01,1,1,4,18,7,0,31
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-02-01,0,0,0,60,0,0,60
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-02-01,0,1,1,0,0,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-02-01,0,0,3,1,0,0,4
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-02-01,0,0,1,1,0,0,2
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-02-01,0,0,4,2,0,0,6
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-02-01,0,0,2,1,0,0,3
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-02-01,0,0,3,2,0,0,5
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-02-01,0,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-02-01,0,0,36,0,0,0,36
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-02-01,0,0,1,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-02-01,0,0,0,2,0,0,2
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-02-01,0,0,1,0,0,0,1
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-02-01,0,0,0,1,0,0,1
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-02-01,0,12,0,12,0,0,24
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-02-01,0,0,1,0,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-03-01,0,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-03-01,0,0,3,1,0,0,4
CONCEPCION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-03-01,0,12,24,0,0,0,36
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-03-01,0,0,6,2,0,0,8
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-03-01,0,0,2,1,0,0,3
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-03-01,0,1,0,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-03-01,0,0,2,1,0,0,3
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-03-01,0,0,0,1,0,0,1
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-03-01,0,0,0,1,0,0,1
