,group,variable,month,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 10 A 14,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 15 A 19,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 20 A 34,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 35 A 49,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 50 Y +,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
ACACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,2,8,6,0,0,16
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,4,22,24,3,0,53
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,3,56,25,3,0,87
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,3,31,12,0,0,46
ALALAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,3,1,0,0,4
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,4,10,0,0,15
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,3,19,16,0,0,38
ANCORAIMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,12,9,0,0,21
ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,3,1,0,0,4
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,1,0,0,0,1
ANZALDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,3,17,8,1,0,29
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,3,22,19,5,0,49
ARAMPAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,10,4,0,0,14
ARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,0,22,3,0,25
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,30,19,1,0,50
ARQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,4,24,17,0,0,45
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,14,32,20,0,66
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,7,10,5,0,23
AUCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,18,14,2,0,35
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,10,5,0,0,15
AYO AYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,13,14,0,0,27
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,36,37,0,0,74
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,6,16,35,24,3,84
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,4,24,16,0,0,44
BAURES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,2,10,6,0,18
BELEN DE ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,0,1,0,0,1
BELEN DE URMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,1,0,0,0,1
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,2,6,5,1,0,14
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,1,3,28,15,2,0,49
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,2,48,28,0,0,78
BOLIVAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,1,6,0,0,7
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,3,1,0,0,4
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,2,8,8,0,0,18
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,5,13,11,0,29
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,12,39,6,0,58
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,3,11,14,0,28
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,8,8,0,0,16
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,2,22,10,0,0,34
CALACOTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,1,4,0,0,5
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,30,18,0,0,49
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,8,9,1,0,18
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,9,7,0,0,16
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,3,20,5,0,28
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,0,6,21,1,0,28
CAQUIAVIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,2,8,8,5,0,23
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,3,27,12,1,0,43
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-01-01,0,1,40,28,10,0,79
