,group,variable,month,NÚMERO DE IMPLANTES RETIRADOS 10 A 14,NÚMERO DE IMPLANTES RETIRADOS 15 A 19,NÚMERO DE IMPLANTES RETIRADOS 20 A 34,NÚMERO DE IMPLANTES RETIRADOS 35 A 49,NÚMERO DE IMPLANTES RETIRADOS 50 Y +,NÚMERO DE IMPLANTES RETIRADOS < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,6,2,0,0,8
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,8,5,1,0,15
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,0,1,0,0,2
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,1,0,0,0,2
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,4,0,0,0,4
ANCORAIMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,2,0,0,3
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,1,0,0,2
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,1,1,0,0,3
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,3,1,0,0,4
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,6,0,0,0,6
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,7,1,0,8
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,0,0,0,1
AYO AYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,1,0,0,2
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,0,0,1
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,6,3,0,0,10
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,0,0,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,8,1,0,0,9
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,6,2,0,0,8
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,1,0,0,0,2
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,1,0,0,2
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,3,0,0,4
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,0,0,1
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,8,1,0,0,9
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,3,3,0,0,7
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,0,0,0,2
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,5,0,0,0,6
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,6,0,0,0,7
CHACARILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,0,0,0,2
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,2,5,3,0,0,10
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,9,2,0,0,12
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,4,1,0,0,5
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,0,0,0,2
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,5,1,0,0,7
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,14,4,0,0,19
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,3,49,19,2,0,73
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,2,5,7,0,0,14
COLLANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,3,1,0,0,4
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,2,0,0,0,3
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,4,0,0,0,4
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,2,0,0,0,3
COLQUIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,1,0,0,2
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,2,5,2,0,0,9
COPACABANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,0,0,0,1
CORIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,2,0,0,3
CORO CORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,0,0,0,1
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,1,0,0,3
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,4,1,0,0,6
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,3,3,1,0,7
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,4,0,0,0,4
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,3,0,0,0,3
