,group,variable,month,MÉTODOS NATURALES: USUARIAS NUEVAS 10 A 14,MÉTODOS NATURALES: USUARIAS NUEVAS 15 A 19,MÉTODOS NATURALES: USUARIAS NUEVAS 20 A 34,MÉTODOS NATURALES: USUARIAS NUEVAS 35 A 49,MÉTODOS NATURALES: USUARIAS NUEVAS 50 Y +,MÉTODOS NATURALES: USUARIAS NUEVAS < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
ACACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,3,1,2,0,0,6
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,11,1,0,0,13
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,22,1,0,0,25
ALALAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,0,0,0,0,1
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,2,1,0,0,3
ANCORAIMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,5,0,0,0,6
ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
ANZALDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,3,0,0,0,3
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,3,12,4,1,0,20
ARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,1,0,0,2
ARQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,6,3,1,0,0,10
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,0,1,0,1
AUCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,0,3,0,0,5
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,1,0,0,0,3
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,4,9,0,0,0,13
BAURES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,1,4,5,0,0,0,10
BOLIVAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,0,1,0,1
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,3,2,0,6
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,1,0,0,0,2
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,6,0,0,0,6
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,4,0,0,0,5
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,1,0,0,2
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
CAQUIAVIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,2,2,1,0,6
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,8,2,0,0,12
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,0,1,0,1
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,3,1,4,0,0,8
CHACARILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,2,0,0,2
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,4,22,5,0,0,31
CHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,2,0,1,0,5
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,7,0,0,0,9
CHARAÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,3,0,0,0,3
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,12,1,0,0,14
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,3,2,0,0,0,5
CHIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,2,0,0,0,3
CHUA COCANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,13,4,0,0,19
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,5,3,0,0,8
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,5,2,1,0,10
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,1,5,2,2,0,0,10
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,3,0,0,0,3
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,3,0,0,4
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,6,19,50,30,0,105
