,group,variable,month,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS 10 A 14,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS 15 A 19,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS 20 A 34,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS 35 A 49,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS 50 Y +,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
ACACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,8,6,0,0,15
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,3,15,19,3,0,40
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,44,22,3,0,69
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,22,12,0,0,36
ALALAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,2,1,0,0,3
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,3,10,0,0,14
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,18,15,0,0,35
ANCORAIMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,7,6,0,0,13
ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,3,1,0,0,4
ANZALDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,16,8,1,0,27
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,7,16,11,0,34
ARAMPAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,9,3,0,0,12
ARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,0,13,3,0,16
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,25,16,1,0,42
ARQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,18,14,0,0,34
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,6,20,9,0,35
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,4,6,3,0,13
AUCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,18,12,2,0,33
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,8,5,0,0,13
AYO AYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,9,12,0,0,21
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,34,36,0,0,71
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,4,8,28,19,3,62
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,3,21,15,0,0,39
BAURES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,2,6,5,0,13
BELEN DE ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
BELEN DE URMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,6,4,1,0,12
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,19,14,2,0,37
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,41,24,0,0,67
BOLIVAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,1,3,0,0,4
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,3,1,0,0,4
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,6,7,0,0,15
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,2,17,10,0,29
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,10,32,6,0,48
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,1,8,14,0,23
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,7,8,0,0,15
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,12,9,0,0,23
CALACOTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,0,3,0,0,3
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,26,15,0,0,42
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,5,6,1,0,12
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,8,7,0,0,15
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,1,19,3,0,23
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,6,21,1,0,29
CAQUIAVIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,6,8,3,0,17
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,24,12,1,0,39
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,25,24,9,0,58
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,26,15,1,0,44
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,3,3,0,0,6
