,group,variable,month,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 10 A 14,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 15 A 19,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 20 A 34,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 35 A 49,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 50 Y +,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,0,0,1,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,0,3,2,0,0,5
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,2,2,7,0,0,11
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,1,21,7,0,0,29
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,2,7,3,0,0,12
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,0,0,1,0,0,1
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,0,0,1,0,0,1
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,0,2,0,0,0,2
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,1,0,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,4,6,3,0,0,13
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,0,0,2,1,0,3
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,2,9,3,0,0,14
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,0,2,14,7,0,23
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,1,5,2,0,0,8
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,5,11,3,0,0,19
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,1,10,3,0,0,14
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,0,0,3,0,0,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,0,2,2,0,0,4
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,1,11,4,0,0,16
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,0,0,1,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,2,1,8,2,0,13
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,0,0,1,0,0,1
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,1,1,0,0,0,2
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,0,4,1,0,0,5
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-01-01,0,1,9,7,0,0,17
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,1,0,2,0,0,3
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,0,5,1,0,0,6
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,0,1,0,2,0,3
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,3,14,5,0,0,22
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,0,1,1,0,0,2
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,1,0,0,0,0,1
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,0,1,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,0,4,1,0,0,5
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,0,3,0,0,0,3
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,0,5,1,0,0,6
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,1,0,10,1,0,12
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,1,10,6,0,0,17
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,0,2,0,0,0,2
