,group,variable,month,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 10 A 14,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 15 A 19,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 20 A 34,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 35 A 49,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 50 Y +,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,1,0,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,0,1,0,0,1
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,1,0,0,0,1
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,1,1,0,0,2
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,0,1,0,0,1
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,1,2,0,0,3
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,0,0,2,0,2
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,3,0,0,0,3
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,0,0,1,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,1,0,1,0,2
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,7,9,3,3,22
COLLANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,0,1,0,0,1
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,1,0,1,0,2
CORIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,0,0,1,0,1
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,1,3,0,0,0,4
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,7,24,40,3,0,74
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,1,0,0,0,1
INGAVI (HUMAITA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,1,0,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,8,8,6,0,22
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,22,27,17,0,66
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,0,0,0,1,1
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,1,1,1,0,3
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,0,1,0,0,1
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,1,12,11,8,0,32
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,1,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,3,6,12,4,0,25
PUERTO PEREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,0,1,0,0,1
PUERTO RICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,0,1,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,1,2,0,0,3
SABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,0,0,1,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,1,9,6,1,0,17
SAN ANDRES DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,0,0,1,0,1
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,0,0,2,2,4
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,2,0,0,0,2
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,1,1,0,0,2
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,3,0,0,0,3
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,0,0,1,0,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,1,0,0,0,1
SAN RAFAEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,0,1,0,0,1
SAN RAMON SCZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,8,36,71,46,17,178
SORATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,0,0,1,0,1
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,1,8,4,2,0,15
TARACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,0,0,1,0,1
