,group,variable,month,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 10 A 14,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 15 A 19,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 20 A 34,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 35 A 49,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 50 Y +,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-01-01,0,0,0,1,2,1,4
CONCEPCION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-01-01,0,1,1,1,0,0,3
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-01-01,0,0,1,1,0,0,2
LORETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-01-01,0,0,2,0,0,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-01-01,0,0,2,4,3,0,9
PASORAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-01-01,0,0,2,1,0,0,3
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-01-01,0,0,0,1,0,0,1
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-01-01,0,0,2,4,0,0,6
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-01-01,0,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-01-01,0,0,1,5,3,7,16
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-01-01,0,1,0,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-01-01,0,0,0,1,1,0,2
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-01-01,0,1,0,2,0,0,3
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-01-01,0,42,85,8,2,0,137
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-01-01,0,0,0,1,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-02-01,0,0,1,3,3,0,7
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-02-01,0,4,6,1,0,0,11
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-02-01,0,0,0,0,1,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-02-01,0,0,0,0,1,0,1
CONCEPCION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-02-01,0,4,31,19,0,0,54
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-02-01,0,0,1,2,1,0,4
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-02-01,0,0,0,0,3,0,3
LORETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-02-01,0,0,1,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-02-01,0,0,4,5,4,0,13
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-02-01,0,0,0,2,4,4,10
TRIGAL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-02-01,0,0,1,0,0,0,1
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-02-01,0,0,0,2,0,0,2
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-03-01,0,0,1,6,3,0,10
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-03-01,0,0,0,9,6,0,15
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-03-01,0,0,5,1,0,0,6
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-03-01,0,0,0,1,2,0,3
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-03-01,0,3,35,42,4,0,84
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-03-01,0,0,0,3,0,0,3
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-03-01,0,0,0,1,0,0,1
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-03-01,0,3,21,3,2,0,29
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-03-01,0,0,4,33,7,3,47
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-03-01,0,0,1,1,0,0,2
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-03-01,0,2,4,4,0,0,10
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-04-01,0,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-04-01,0,0,0,6,7,0,13
CONCEPCION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-04-01,0,1,6,4,0,0,11
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-04-01,0,1,0,10,7,0,18
GIA-TIM,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-04-01,0,0,1,8,0,0,9
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-04-01,0,0,3,0,0,0,3
