,group,variable,month,IMPLANTE SUBDÉRMICO: USUARIAS NUEVAS 10 A 14,IMPLANTE SUBDÉRMICO: USUARIAS NUEVAS 15 A 19,IMPLANTE SUBDÉRMICO: USUARIAS NUEVAS 20 A 34,IMPLANTE SUBDÉRMICO: USUARIAS NUEVAS 35 A 49,IMPLANTE SUBDÉRMICO: USUARIAS NUEVAS 50 Y +,IMPLANTE SUBDÉRMICO: USUARIAS NUEVAS < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
ACACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,6,0,0,0,7
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,2,6,4,0,0,12
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,5,18,1,0,0,24
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,1,0,0,0,2
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,3,5,0,0,0,8
ANCORAIMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,1,0,0,2
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,3,0,0,0,4
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,3,21,3,1,0,28
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,4,2,0,0,6
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,0,5,1,0,6
AYO AYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,0,2,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,3,3,0,0,6
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,3,0,0,4
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,2,8,2,0,0,12
BAURES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,2,0,0,0,0,2
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,4,4,1,0,0,9
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,2,5,0,0,0,7
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,0,5,1,0,6
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,0,2,0,0,2
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,2,0,0,0,3
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,0,0,0,0,1
CALACOTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,0,0,0,0,1
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,2,9,3,0,0,14
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,2,0,0,3
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,5,1,0,7
CAQUIAVIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,9,1,0,0,11
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,2,14,3,0,0,19
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,0,0,0,0,1
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,11,1,0,13
CHACARILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,0,2,0,0,2
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,10,2,0,0,12
CHARAÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,5,0,0,0,5
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,1,1,14,4,0,0,20
CHOQUE COTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,2,0,0,3
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,2,2,1,0,0,5
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,4,1,0,0,6
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,4,0,0,0,5
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,2,5,10,2,0,0,19
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,6,3,0,0,9
