,group,variable,month,NÚMERO DE MUJERES CON IVAA 10 A 14,NÚMERO DE MUJERES CON IVAA 15 A 19,NÚMERO DE MUJERES CON IVAA 20 A 34,NÚMERO DE MUJERES CON IVAA 35 A 49,NÚMERO DE MUJERES CON IVAA 50 Y +,NÚMERO DE MUJERES CON IVAA < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
ACACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,2,0,0,0,0,2
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,5,2,1,0,8
ALALAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,1,0,0,0,1
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,1,0,0,0,0,1
ANZALDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,0,1,0,0,1
ARAMPAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,1,2,0,0,3
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,3,18,7,2,0,30
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,10,59,26,4,99
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,0,1,0,0,1
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,1,5,15,16,12,0,49
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,2,3,1,2,0,8
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,4,36,16,11,0,67
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,1,1,0,0,2
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,0,5,8,0,13
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,5,1,3,0,9
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,1,2,0,0,3
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,7,4,3,0,14
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,3,2,1,0,6
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,5,12,6,3,0,26
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,1,2,0,0,3
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,0,1,0,0,1
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,3,1,0,0,4
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,1,3,27,27,6,0,64
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,1,19,10,2,0,32
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,28,313,403,173,0,917
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,1,6,2,0,0,9
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,4,23,106,22,0,155
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,1,6,1,0,0,8
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,2,1,0,0,3
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,3,5,1,0,9
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,2,1,1,0,0,4
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,2,20,24,10,2,58
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,2,3,4,2,0,11
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,8,93,112,69,0,282
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,6,69,35,16,0,126
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,3,22,7,4,0,36
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,2,37,61,24,4,128
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,1,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,13,147,154,80,0,394
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,3,17,7,3,0,30
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,3,2,2,0,7
POOPO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,1,3,0,2,0,6
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,1,8,7,5,0,21
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,29,23,8,0,60
PUERTO RICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,2,2,0,0,0,4
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,7,5,1,0,13
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,2,2,0,0,4
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,0,0,1,0,1
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,0,1,58,57,14,130
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,18,66,38,7,0,129
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa,2024-01-01,0,2,11,7,0,1,21
