,group,variable,month,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS TRATADAS 10 A 14,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS TRATADAS 15 A 19,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS TRATADAS 20 A 34,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS TRATADAS 35 A 49,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS TRATADAS 50 Y +,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS TRATADAS < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-01-01,0,0,0,1,1,2,4
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-01-01,0,0,0,1,0,0,1
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-01-01,0,0,0,0,1,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-01-01,0,0,5,7,1,0,13
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-01-01,0,0,2,0,0,0,2
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-01-01,0,0,2,6,4,0,12
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-01-01,0,0,4,6,4,0,14
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-01-01,0,0,4,2,1,0,7
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-01-01,0,0,0,1,1,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-01-01,0,0,8,3,3,0,14
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-01-01,0,0,0,2,3,0,5
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-01-01,0,1,8,12,0,0,21
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-01-01,0,0,1,0,0,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-01-01,0,0,1,1,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-01-01,0,0,21,24,19,3,67
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-01-01,0,0,0,3,7,0,10
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-01-01,0,0,2,1,0,0,3
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-01-01,0,0,0,1,0,0,1
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-01-01,0,0,3,2,1,0,6
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-02-01,0,0,0,2,1,0,3
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-02-01,0,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-02-01,0,0,0,20,18,2,40
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-02-01,0,1,2,0,0,0,3
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-02-01,0,0,5,7,1,0,13
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-02-01,0,2,7,5,1,0,15
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-02-01,0,0,0,6,6,0,12
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-02-01,0,0,0,1,0,1,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-02-01,0,9,6,24,13,0,52
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-02-01,0,0,0,0,0,1,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-02-01,0,0,2,2,0,0,4
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-02-01,0,0,1,1,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-02-01,0,2,39,25,23,6,95
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-02-01,0,0,7,7,8,0,22
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-02-01,0,0,3,2,3,0,8
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-03-01,0,0,0,0,1,0,1
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-03-01,0,0,0,1,1,1,3
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-03-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-03-01,0,0,7,4,2,0,13
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-03-01,0,2,6,2,0,0,10
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-03-01,0,0,1,1,0,0,2
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-03-01,0,1,2,3,6,0,12
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-03-01,0,0,6,2,0,0,8
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-03-01,1,0,0,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-03-01,0,0,12,15,12,0,39
