,group,variable,month,NÚMERO DE DIU INSERTADOS 10 A 14,NÚMERO DE DIU INSERTADOS 15 A 19,NÚMERO DE DIU INSERTADOS 20 A 34,NÚMERO DE DIU INSERTADOS 35 A 49,NÚMERO DE DIU INSERTADOS 50 Y +,NÚMERO DE DIU INSERTADOS < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,2,0,0,2
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,0,1,0,1
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,1,0,0,1
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,8,4,0,12
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,2,0,0,0,2
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,1,0,0,1
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,1,1,0,0,2
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,1,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,1,0,0,0,1
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,2,0,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,9,65,78,39,0,191
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,4,5,1,0,0,10
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,1,0,0,0,1
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,1,2,0,3
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,1,0,0,1
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,28,16,9,0,0,53
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,5,2,0,0,7
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,2,1,0,3
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,1,0,0,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,1,0,0,0,0,1
HUACARAJE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,4,88,70,16,0,178
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,1,1,2,0,4
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,1,0,2,1,0,4
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,2,0,0,2
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,1,1,0,0,0,2
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,1,3,0,0,0,4
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,6,1,0,0,7
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,1,9,5,0,0,15
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,3,43,17,0,0,63
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,3,1,0,0,4
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,2,0,0,0,2
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,1,1,0,0,2
PASORAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,2,1,0,0,3
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,3,4,0,0,0,7
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,6,9,1,0,16
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,6,0,0,6
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,1,0,0,0,1
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,1,1,0,2
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,6,0,0,0,6
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,1,1,1,0,0,3
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,1,0,0,0,1
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,3,7,3,0,13
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,1,2,0,0,3
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,1,7,2,0,0,10
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,1,0,0,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,1,3,1,0,0,5
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,2,1,0,0,3
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,3,0,0,3
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,2,0,0,0,2
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,1,0,0,1
