,group,variable,month,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 10 A 14,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 15 A 19,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 20 A 34,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 35 A 49,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 50 Y +,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,8,20,5,0,0,33
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,0,3,0,0,0,3
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,0,2,0,0,0,2
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,0,6,1,0,0,7
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,0,1,0,0,0,1
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,0,1,0,0,0,1
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,0,6,0,0,0,6
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,0,0,6,1,0,7
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,0,2,0,0,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,7,18,2,0,0,27
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,3,11,1,0,0,15
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,9,5,0,0,0,14
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,0,12,1,0,0,13
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,0,1,0,0,0,1
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,0,2,7,0,0,9
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,4,11,4,0,0,19
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,4,14,1,0,0,19
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,0,3,1,0,0,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,2,1,4,0,0,7
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,0,2,0,0,0,2
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,0,2,1,0,0,3
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,0,0,1,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,5,36,62,9,0,112
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,0,10,2,0,0,12
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,1,1,0,0,0,2
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,0,4,0,0,0,4
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-01-01,0,0,3,1,0,0,4
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,7,23,6,0,0,36
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,0,1,2,0,0,3
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,2,5,0,0,0,7
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,0,4,1,0,0,5
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,0,2,0,0,0,2
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,2,2,3,0,0,7
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,1,1,0,0,0,2
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,1,0,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,0,2,24,3,0,29
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,3,25,1,0,0,29
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,0,1,0,0,0,1
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,1,10,0,0,0,11
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,1,0,3,1,0,0,5
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,2,10,0,0,0,12
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,5,14,8,0,0,27
