,group,variable,month,CONDÓN FEMENINO: USUARIAS CONTINUAS 10 A 14,CONDÓN FEMENINO: USUARIAS CONTINUAS 15 A 19,CONDÓN FEMENINO: USUARIAS CONTINUAS 20 A 34,CONDÓN FEMENINO: USUARIAS CONTINUAS 35 A 49,CONDÓN FEMENINO: USUARIAS CONTINUAS 50 Y +,CONDÓN FEMENINO: USUARIAS CONTINUAS < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-01-01,0,0,0,0,0,12,12
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-01-01,0,0,0,3,1,0,4
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-01-01,0,0,0,2,0,0,2
HUACARAJE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
MOJINETE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-01-01,0,0,3,1,0,0,4
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-01-01,12,0,13,12,0,0,37
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-01-01,0,0,84,228,84,0,396
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-01-01,0,0,0,2,0,0,2
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
SAN RAMON BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-01-01,0,0,0,0,1,0,1
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-01-01,0,0,12,0,0,0,12
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-01-01,0,0,0,2,4,0,6
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-01-01,0,12,36,0,0,0,48
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-02-01,0,0,1,8,14,4,27
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-02-01,0,0,0,1,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-02-01,0,0,156,48,0,0,204
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-02-01,0,0,1,1,0,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-02-01,0,0,2,0,0,0,2
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-02-01,0,12,32,0,0,0,44
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-02-01,0,1,0,0,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-02-01,0,0,0,1,0,0,1
SENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-02-01,0,0,2,0,0,0,2
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-02-01,0,0,0,1,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-02-01,0,0,1,1,0,0,2
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-02-01,0,0,0,1,0,0,1
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-03-01,0,0,0,2,0,0,2
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-03-01,0,0,12,0,0,0,12
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-03-01,0,12,24,0,0,0,36
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-03-01,0,0,1,1,0,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-03-01,0,0,15,3,0,0,18
PASORAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-03-01,0,0,12,0,0,0,12
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-03-01,0,0,0,84,24,0,108
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-03-01,0,0,228,156,0,0,384
SAN ANDRES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
SAN RAMON BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-03-01,0,0,4,0,0,0,4
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-03-01,0,0,0,20,0,0,20
TINGUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-03-01,0,0,0,60,12,0,72
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-04-01,0,0,2,1,0,0,3
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-04-01,0,0,12,0,0,0,12
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-04-01,0,0,75,60,15,0,150
