,group,variable,month,AQV FEMENINO 10 A 14,AQV FEMENINO 15 A 19,AQV FEMENINO 20 A 34,AQV FEMENINO 35 A 49,AQV FEMENINO 50 Y +,AQV FEMENINO < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,0,3,0,0,3
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,0,2,2,0,4
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,0,2,1,0,3
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,1,0,0,0,1
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,0,5,2,0,7
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,3,1,0,0,4
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,1,1,0,0,0,2
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,1,1,0,0,2
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,13,4,0,0,17
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,44,42,9,0,95
CONCEPCION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,1,0,0,0,1
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,27,19,0,0,46
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,0,1,1,0,2
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,8,4,0,0,12
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,3,0,0,0,3
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,31,20,9,0,60
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,0,0,3,0,3
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,1,0,0,0,1
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,2,1,0,0,3
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,0,2,0,0,2
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,2,1,0,0,3
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,5,4,0,0,9
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,16,21,0,0,37
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,1,0,0,0,1
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,1,1,0,0,2
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,11,4,0,0,15
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,4,0,0,0,4
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,2,0,0,0,2
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,1,38,9,0,0,48
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,3,0,0,0,3
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,15,6,0,0,21
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,1,2,3,0,6
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,1,2,0,0,3
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,3,1,0,0,4
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,4,0,0,0,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,6,11,5,0,22
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,2,0,0,0,2
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,9,6,1,0,16
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,4,7,1,0,12
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,10,8,0,0,18
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,1,0,0,0,1
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,0,2,0,0,2
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,10,2,0,0,12
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,4,4,0,0,8
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,1,0,0,0,1
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,4,0,0,0,4
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-01-01,0,0,2,1,0,0,3
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,1,0,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,0,2,2,0,4
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,2,2,0,0,4
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,0,1,0,0,1
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,2,0,0,0,0,2
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,5,1,0,0,6
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,4,1,0,0,5
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,2,1,0,0,3
