,group,variable,month,NÚMERO DE CONDONES ENTREGADOS 10 A 14,NÚMERO DE CONDONES ENTREGADOS 15 A 19,NÚMERO DE CONDONES ENTREGADOS 20 A 34,NÚMERO DE CONDONES ENTREGADOS 35 A 49,NÚMERO DE CONDONES ENTREGADOS 50 Y +,NÚMERO DE CONDONES ENTREGADOS < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,72,168,12,12,0,264
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,132,72,0,0,204
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,72,0,0,0,72
ALALAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,24,36,0,0,72
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,36,120,48,24,12,0,240
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,84,24,12,0,120
ANCORAIMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,36,24,0,0,60
ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,48,0,0,0,48
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,36,0,0,0,36
ANZALDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,0,0,0,12
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,36,36,0,0,84
ARAMPAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,0,0,0,12
ARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,24,72,36,0,132
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,120,72,24,0,216
ARQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,24,72,12,0,0,108
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,14,44,14,12,84
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,48,0,0,60
AUCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,12,24,24,0,72
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,36,24,0,0,72
AYO AYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,36,0,0,0,36
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,24,120,48,0,0,192
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,24,60,36,24,144
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,32,12,12,0,68
BAURES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,2,15,0,17
BELEN DE URMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,0,0,0,12
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,60,12,0,0,72
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,18,141,84,0,0,243
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,108,84,132,0,0,324
BOLIVAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,24,0,0,24
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,12,0,12,24,0,0,48
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,0,24,0,0,36
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,72,36,12,132
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,24,21,15,0,60
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,48,24,0,84
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,72,84,0,0,156
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,72,36,0,0,108
CALACOTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,0,0,0,12
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,24,48,36,12,0,120
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,48,72,36,0,0,156
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,144,276,144,36,0,600
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,13,12,0,0,25
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,120,24,0,144
CAQUIAVIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,24,36,0,0,60
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,36,24,12,0,84
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,228,156,24,0,420
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,66,12,0,0,78
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,48,0,0,60
CATACORA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,37,0,0,0,49
CHACARILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,12,12,0,24
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,144,48,0,0,204
CHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,0,0,12,0,24
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,12,0,0,12
CHARAÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,0,0,0,12
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,48,96,12,0,0,156
