,group,variable,month,NÚMERO DE MUJERES CON PÍLDORA ANTICONCEPTIVA ORAL DE EMERGENCIA 10 A 14,NÚMERO DE MUJERES CON PÍLDORA ANTICONCEPTIVA ORAL DE EMERGENCIA 15 A 19,NÚMERO DE MUJERES CON PÍLDORA ANTICONCEPTIVA ORAL DE EMERGENCIA 20 A 34,NÚMERO DE MUJERES CON PÍLDORA ANTICONCEPTIVA ORAL DE EMERGENCIA 35 A 49,NÚMERO DE MUJERES CON PÍLDORA ANTICONCEPTIVA ORAL DE EMERGENCIA 50 Y +,NÚMERO DE MUJERES CON PÍLDORA ANTICONCEPTIVA ORAL DE EMERGENCIA < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,1,0,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,0,3,0,0,3
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,0,1,0,0,1
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,1,0,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,2,0,0,0,2
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,1,6,0,0,7
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,0,2,0,0,2
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,2,1,0,0,0,3
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,1,0,0,0,1
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,1,0,0,0,1
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,1,4,2,0,0,7
CAQUIAVIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,1,0,0,0,1
CATACORA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,1,0,0,0,1
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,1,0,0,0,1
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,1,1,0,0,2
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,1,4,9,4,4,0,22
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,3,3,0,0,6
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,2,1,1,0,0,4
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,1,1,0,0,0,2
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,2,0,0,0,0,0,2
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,1,3,1,0,0,5
CUEVO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,1,0,0,0,1
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,2,0,0,0,2
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,1,7,6,1,0,15
ESMERALDA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,2,0,0,0,2
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,0,2,0,0,2
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,1,0,0,0,0,0,1
ICHOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,1,0,0,0,0,1
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,1,6,2,0,0,9
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,1,1,0,0,0,2
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,9,2,0,0,11
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,1,5,0,0,0,6
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,1,0,0,0,1
MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,1,0,0,0,1
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,1,0,0,0,1
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,1,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,5,1,0,0,6
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,1,0,0,0,1
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,1,0,1,0,0,2
PELECHUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con pildora anticonceptiva oral de emergencia,2024-01-01,0,0,0,0,1,0,1
