,group,variable,month,DIU: USUARIAS NUEVAS 10 A 14,DIU: USUARIAS NUEVAS 15 A 19,DIU: USUARIAS NUEVAS 20 A 34,DIU: USUARIAS NUEVAS 35 A 49,DIU: USUARIAS NUEVAS 50 Y +,DIU: USUARIAS NUEVAS < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,1,1,0,0,2
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,1,1,0,0,2
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,1,50,63,36,0,150
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,0,1,2,0,3
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,28,15,8,0,0,51
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,5,2,0,0,7
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,0,2,0,0,2
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,1,0,0,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,1,0,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,46,56,13,0,115
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,0,2,0,0,2
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,1,1,0,0,0,2
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,1,3,0,0,0,4
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,6,1,0,0,7
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,6,17,1,0,0,24
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,2,1,0,0,3
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,1,1,0,0,2
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,3,4,0,0,0,7
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,6,9,1,0,16
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,0,3,0,0,3
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,0,1,1,0,2
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,6,0,0,0,6
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,1,1,1,0,0,3
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,3,7,3,0,13
SAIPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,1,2,0,0,3
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,25,3,1,0,0,29
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,0,2,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,33,92,32,0,157
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,1,1,0,0,2
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,1,11,25,8,0,0,45
TACOPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,8,41,42,0,0,91
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,5,1,0,0,6
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",diu: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
