,group,variable,month,MÉTODOS NATURALES: USUARIAS CONTINUAS 10 A 14,MÉTODOS NATURALES: USUARIAS CONTINUAS 15 A 19,MÉTODOS NATURALES: USUARIAS CONTINUAS 20 A 34,MÉTODOS NATURALES: USUARIAS CONTINUAS 35 A 49,MÉTODOS NATURALES: USUARIAS CONTINUAS 50 Y +,MÉTODOS NATURALES: USUARIAS CONTINUAS < A 10,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,,
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,10,2,0,0,12
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,1,1,0,0,0,2
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,3,1,0,0,4
ANZALDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,0,0,1,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,2,6,1,0,0,9
BOLIVAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,1,2,0,0,3
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,1,1,0,0,2
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,1,1,0,0,2
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,5,0,0,0,5
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,8,4,0,0,12
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,3,0,0,0,3
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,2,3,41,29,0,75
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,4,0,0,0,4
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,3,1,0,0,4
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,5,13,4,0,0,22
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,1,4,3,0,0,8
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,0,0,1,0,1
CUEVO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,4,1,0,0,5
DESAGUADERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,2,0,0,0,2
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,36,14,0,0,50
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,1,1,0,0,2
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,1,4,0,0,5
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,4,0,0,0,4
GUAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,1,0,0,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,9,8,4,0,21
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,1,0,2,1,0,4
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,4,28,6,0,38
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,1,2,0,0,3
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,0,2,0,0,2
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,0,0,3,0,3
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,4,0,0,0,4
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,1,9,3,0,0,13
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,3,1,0,0,4
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,0,5,0,0,5
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,22,0,0,0,22
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,1,1,0,0,2
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
