municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,13,13
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,16,16
EL TORNO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,2,2
INGAVI (HUMAITA),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,1,1
LA GUARDIA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,8,8
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,12,12
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,5,5
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,2,2
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,6,6
RURRENABAQUE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,23,23
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,2,2
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,5,5
TUPIZA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,11,11
UYUNI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,1,1
VALLEGRANDE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,1,1
VILLAZON,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,2,2
YACUIBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,2,2
YAPACANI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-01-01,2,2
ACHACACHI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,2,2
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,7,7
COROICO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,2,2
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,34,34
ESCOMA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,1,1
ICLA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,2,2
IXIAMAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,1,1
LA GUARDIA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,12,12
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,2,2
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,9,9
PATACAMAYA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,4,4
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,2,2
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,15,15
SACABA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,2,2
SAN BUENA VENTURA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,41,41
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,16,16
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,4,4
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,8,8
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,2,2
TUPIZA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,6,6
UYUNI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-02-01,1,1
AIQUILE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-03-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-03-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-03-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-03-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-03-01,1,1
CLIZA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-03-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-03-01,2,2
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-03-01,63,63
COROICO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-03-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-03-01,12,12
EL TORNO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2017-03-01,1,1
