municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
ACACIO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
ACHACACHI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,5,5
APOLO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
ARANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
ARQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,2,2
ATOCHA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
BERMEJO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,2,2
BOYUIBE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
CAMARGO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
CAMIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,10,10
CHALLAPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
CHIMORE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,12,12
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,85,85
CONCEPCION,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,8,8
EL ALTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,79,79
ENTRE RIOS TRJ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
GENERAL SAAVEDRA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,13,13
HUANUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
LA GUARDIA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,2,2
LA PAZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,150,150
MACHARETI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
MAGDALENA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
MAIRANA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,2,2
MONTERO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,9,9
ORURO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,56,56
PADILLA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
POROMA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
PORTACHUELO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
PORVENIR,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,2,2
POTOSI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,39,39
PRESTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
PUERTO SUAREZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,3,3
PUERTO VILLARROEL,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,5,5
PUNATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,5,5
QUILLACOLLO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,3,3
QUIME,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
REYES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,3,3
RIBERALTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,11,11
RURRENABAQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,2,2
SACACA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
SAN BUENA VENTURA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,8,8
SAN JAVIER(STC),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,2,2
SAN JOAQUIN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,5,5
SAN MATIAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,2,2
SANTA ANA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,217,217
SOPACHUY,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
SUCRE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,32,32
TARIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,25,25
TARVITA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
TIPUANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
TOMINA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,17,17
TUPIZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,13,13
UYUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,2,2
VILA VILA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,2,2
VILLA TUNARI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,3,3
VILLAZON,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,2,2
WARNES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,3,3
YACUIBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,7,7
YAPACANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-01-01,1,1
ACHACACHI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-02-01,3,3
APOLO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-02-01,3,3
ATOCHA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
BATALLAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
BELLA FLOR,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
BETANZOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
BUENA VISTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
CAMIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
CARANAVI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-02-01,4,4
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-02-01,9,9
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-02-01,87,87
COLCAPIRHUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-02-01,2,2
CONCEPCION,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
CORO CORO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2017-02-01,1,1
