municipality,group,variable,month,RN con apego precoz,TOTAL
ACACIO,atencion de partos en servicios,rn con apego precoz,2017-01-01,2,2
ACHACACHI,atencion de partos en servicios,rn con apego precoz,2017-01-01,33,33
ACHOCALLA,atencion de partos en servicios,rn con apego precoz,2017-01-01,8,8
AIQUILE,atencion de partos en servicios,rn con apego precoz,2017-01-01,18,18
ALCALA,atencion de partos en servicios,rn con apego precoz,2017-01-01,3,3
ALTO BENI,atencion de partos en servicios,rn con apego precoz,2017-01-01,4,4
ANCORAIMES,atencion de partos en servicios,rn con apego precoz,2017-01-01,2,2
ANDAMARCA,atencion de partos en servicios,rn con apego precoz,2017-01-01,1,1
ANTEQUERA,atencion de partos en servicios,rn con apego precoz,2017-01-01,1,1
ANZALDO,atencion de partos en servicios,rn con apego precoz,2017-01-01,3,3
APOLO,atencion de partos en servicios,rn con apego precoz,2017-01-01,11,11
ARAMPAMPA,atencion de partos en servicios,rn con apego precoz,2017-01-01,1,1
ARANI,atencion de partos en servicios,rn con apego precoz,2017-01-01,7,7
ARBIETO,atencion de partos en servicios,rn con apego precoz,2017-01-01,5,5
ARQUE,atencion de partos en servicios,rn con apego precoz,2017-01-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con apego precoz,2017-01-01,34,34
ATOCHA,atencion de partos en servicios,rn con apego precoz,2017-01-01,6,6
AUCAPATA,atencion de partos en servicios,rn con apego precoz,2017-01-01,1,1
AYATA,atencion de partos en servicios,rn con apego precoz,2017-01-01,3,3
AYO AYO,atencion de partos en servicios,rn con apego precoz,2017-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con apego precoz,2017-01-01,15,15
AZURDUY,atencion de partos en servicios,rn con apego precoz,2017-01-01,5,5
BATALLAS,atencion de partos en servicios,rn con apego precoz,2017-01-01,9,9
BAURES,atencion de partos en servicios,rn con apego precoz,2017-01-01,4,4
BELLA FLOR,atencion de partos en servicios,rn con apego precoz,2017-01-01,2,2
BERMEJO,atencion de partos en servicios,rn con apego precoz,2017-01-01,28,28
BETANZOS,atencion de partos en servicios,rn con apego precoz,2017-01-01,20,20
BOYUIBE,atencion de partos en servicios,rn con apego precoz,2017-01-01,3,3
BUENA VISTA,atencion de partos en servicios,rn con apego precoz,2017-01-01,5,5
CABEZAS,atencion de partos en servicios,rn con apego precoz,2017-01-01,21,21
CAIROMA,atencion de partos en servicios,rn con apego precoz,2017-01-01,4,4
"CAIZA ""D""",atencion de partos en servicios,rn con apego precoz,2017-01-01,6,6
CAJUATA,atencion de partos en servicios,rn con apego precoz,2017-01-01,17,17
CALACOTO,atencion de partos en servicios,rn con apego precoz,2017-01-01,1,1
CALAMARCA,atencion de partos en servicios,rn con apego precoz,2017-01-01,7,7
CAMARGO,atencion de partos en servicios,rn con apego precoz,2017-01-01,12,12
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,rn con apego precoz,2017-01-01,3,3
CAMIRI,atencion de partos en servicios,rn con apego precoz,2017-01-01,39,39
CAPINOTA,atencion de partos en servicios,rn con apego precoz,2017-01-01,10,10
CAQUIAVIRI,atencion de partos en servicios,rn con apego precoz,2017-01-01,1,1
CARACOLLO,atencion de partos en servicios,rn con apego precoz,2017-01-01,14,14
CARANAVI,atencion de partos en servicios,rn con apego precoz,2017-01-01,72,72
CARAPARI,atencion de partos en servicios,rn con apego precoz,2017-01-01,6,6
CARIPUYO,atencion de partos en servicios,rn con apego precoz,2017-01-01,2,2
CARMEN RIVERO TORREZ,atencion de partos en servicios,rn con apego precoz,2017-01-01,6,6
CHALLAPATA,atencion de partos en servicios,rn con apego precoz,2017-01-01,43,43
CHAQUI,atencion de partos en servicios,rn con apego precoz,2017-01-01,4,4
CHARAGUA,atencion de partos en servicios,rn con apego precoz,2017-01-01,50,50
CHAYANTA,atencion de partos en servicios,rn con apego precoz,2017-01-01,10,10
CHIMORE,atencion de partos en servicios,rn con apego precoz,2017-01-01,23,23
CHIPAYA,atencion de partos en servicios,rn con apego precoz,2017-01-01,1,1
CHUA COCANI,atencion de partos en servicios,rn con apego precoz,2017-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,rn con apego precoz,2017-01-01,19,19
CHUMA,atencion de partos en servicios,rn con apego precoz,2017-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,rn con apego precoz,2017-01-01,2,2
CKOCHAS,atencion de partos en servicios,rn con apego precoz,2017-01-01,4,4
CLIZA,atencion de partos en servicios,rn con apego precoz,2017-01-01,32,32
COBIJA,atencion de partos en servicios,rn con apego precoz,2017-01-01,78,78
COCAPATA,atencion de partos en servicios,rn con apego precoz,2017-01-01,15,15
COCHABAMBA,atencion de partos en servicios,rn con apego precoz,2017-01-01,908,908
COLCAPIRHUA,atencion de partos en servicios,rn con apego precoz,2017-01-01,55,55
"COLCHA ""K""",atencion de partos en servicios,rn con apego precoz,2017-01-01,2,2
COLOMI,atencion de partos en servicios,rn con apego precoz,2017-01-01,16,16
COLPA BELGICA,atencion de partos en servicios,rn con apego precoz,2017-01-01,2,2
COLQUECHACA,atencion de partos en servicios,rn con apego precoz,2017-01-01,12,12
COLQUENCHA,atencion de partos en servicios,rn con apego precoz,2017-01-01,4,4
COLQUIRI,atencion de partos en servicios,rn con apego precoz,2017-01-01,3,3
COMARAPA,atencion de partos en servicios,rn con apego precoz,2017-01-01,31,31
CONCEPCION,atencion de partos en servicios,rn con apego precoz,2017-01-01,38,38
COPACABANA,atencion de partos en servicios,rn con apego precoz,2017-01-01,7,7
CORIPATA,atencion de partos en servicios,rn con apego precoz,2017-01-01,11,11
CORO CORO,atencion de partos en servicios,rn con apego precoz,2017-01-01,1,1
COROICO,atencion de partos en servicios,rn con apego precoz,2017-01-01,19,19
