municipality,group,variable,month,Partos atendidos por personal de salud calificado,TOTAL
ALTO BENI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,1,1
ANCORAIMES,atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,1,1
ANDAMARCA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,1,1
ANZALDO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,2,2
ARQUE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,1,1
ATOCHA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,6,6
AYATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,1,1
AYO AYO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,6,6
BAURES,atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,2,2
BERMEJO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,3,3
BETANZOS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,1,1
BUENA VISTA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,5,5
CAIROMA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,3,3
"CAIZA ""D""",atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,5,5
CALAMARCA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,2,2
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,3,3
CAMIRI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,45,45
CARANAVI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,3,3
CARAPARI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,8,8
CARIPUYO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,6,6
CHALLAPATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2017-01-01,2,2
