municipality,group,variable,month,Partos atendidos por partera en servicio,TOTAL
CAMIRI,atencion de partos en servicios,partos atendidos por partera en servicio,2017-01-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por partera en servicio,2017-01-01,1,1
SAN IGNACIO,atencion de partos en servicios,partos atendidos por partera en servicio,2017-01-01,1,1
SOPACHUY,atencion de partos en servicios,partos atendidos por partera en servicio,2017-02-01,3,3
CHAQUI,atencion de partos en servicios,partos atendidos por partera en servicio,2017-03-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por partera en servicio,2017-03-01,2,2
SAN IGNACIO,atencion de partos en servicios,partos atendidos por partera en servicio,2017-03-01,3,3
SAN JAVIER(STC),atencion de partos en servicios,partos atendidos por partera en servicio,2017-04-01,28,28
CARAPARI,atencion de partos en servicios,partos atendidos por partera en servicio,2017-05-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por partera en servicio,2017-05-01,2,2
SAN CARLOS,atencion de partos en servicios,partos atendidos por partera en servicio,2017-05-01,1,1
SAN JAVIER(STC),atencion de partos en servicios,partos atendidos por partera en servicio,2017-06-01,29,29
SAN JAVIER(STC),atencion de partos en servicios,partos atendidos por partera en servicio,2017-07-01,23,23
SAN MATIAS,atencion de partos en servicios,partos atendidos por partera en servicio,2017-07-01,2,2
TINGUIPAYA,atencion de partos en servicios,partos atendidos por partera en servicio,2017-07-01,1,1
COLQUECHACA,atencion de partos en servicios,partos atendidos por partera en servicio,2017-08-01,3,3
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por partera en servicio,2017-08-01,1,1
SAN JAVIER(STC),atencion de partos en servicios,partos atendidos por partera en servicio,2017-08-01,22,22
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por partera en servicio,2017-09-01,1,1
SAN JAVIER(STC),atencion de partos en servicios,partos atendidos por partera en servicio,2017-09-01,29,29
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,partos atendidos por partera en servicio,2017-09-01,23,23
TORO TORO,atencion de partos en servicios,partos atendidos por partera en servicio,2017-09-01,4,4
SAN JAVIER(STC),atencion de partos en servicios,partos atendidos por partera en servicio,2017-10-01,28,28
SAN JAVIER(STC),atencion de partos en servicios,partos atendidos por partera en servicio,2017-11-01,20,20
SAN LUCAS,atencion de partos en servicios,partos atendidos por partera en servicio,2017-11-01,2,2
SAN PABLO DE LIPEZ,atencion de partos en servicios,partos atendidos por partera en servicio,2017-11-01,1,1
REYES,atencion de partos en servicios,partos atendidos por partera en servicio,2017-12-01,1,1
SAN JAVIER(STC),atencion de partos en servicios,partos atendidos por partera en servicio,2017-12-01,19,19
TRINIDAD,atencion de partos en servicios,partos atendidos por partera en servicio,2017-12-01,6,6
