municipality,group,variable,month,RN con malformación congénita,TOTAL
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con malformacion congenita,2017-01-01,1,1
BERMEJO,atencion de partos en servicios,rn con malformacion congenita,2017-01-01,1,1
COCHABAMBA,atencion de partos en servicios,rn con malformacion congenita,2017-01-01,1,1
COLOMI,atencion de partos en servicios,rn con malformacion congenita,2017-01-01,1,1
COROICO,atencion de partos en servicios,rn con malformacion congenita,2017-01-01,1,1
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2017-01-01,5,5
EL TORNO,atencion de partos en servicios,rn con malformacion congenita,2017-01-01,1,1
ENTRE RIOS CBBA,atencion de partos en servicios,rn con malformacion congenita,2017-01-01,1,1
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2017-01-01,17,17
MAGDALENA,atencion de partos en servicios,rn con malformacion congenita,2017-01-01,1,1
MAPIRI,atencion de partos en servicios,rn con malformacion congenita,2017-01-01,1,1
MONTERO,atencion de partos en servicios,rn con malformacion congenita,2017-01-01,1,1
ORURO,atencion de partos en servicios,rn con malformacion congenita,2017-01-01,2,2
SAN BORJA,atencion de partos en servicios,rn con malformacion congenita,2017-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,rn con malformacion congenita,2017-01-01,3,3
SAN LUCAS,atencion de partos en servicios,rn con malformacion congenita,2017-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con malformacion congenita,2017-01-01,8,8
SICA SICA (VILLA AROMA),atencion de partos en servicios,rn con malformacion congenita,2017-01-01,1,1
TINGUIPAYA,atencion de partos en servicios,rn con malformacion congenita,2017-01-01,5,5
TRINIDAD,atencion de partos en servicios,rn con malformacion congenita,2017-01-01,4,4
YACUIBA,atencion de partos en servicios,rn con malformacion congenita,2017-01-01,1,1
COBIJA,atencion de partos en servicios,rn con malformacion congenita,2017-02-01,1,1
COCHABAMBA,atencion de partos en servicios,rn con malformacion congenita,2017-02-01,1,1
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2017-02-01,15,15
ENTRE RIOS CBBA,atencion de partos en servicios,rn con malformacion congenita,2017-02-01,1,1
EUCALIPTUS,atencion de partos en servicios,rn con malformacion congenita,2017-02-01,1,1
HUACARETA,atencion de partos en servicios,rn con malformacion congenita,2017-02-01,1,1
ICLA,atencion de partos en servicios,rn con malformacion congenita,2017-02-01,1,1
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2017-02-01,14,14
MAGDALENA,atencion de partos en servicios,rn con malformacion congenita,2017-02-01,1,1
MIZQUE,atencion de partos en servicios,rn con malformacion congenita,2017-02-01,1,1
ORURO,atencion de partos en servicios,rn con malformacion congenita,2017-02-01,1,1
RIBERALTA,atencion de partos en servicios,rn con malformacion congenita,2017-02-01,2,2
SAN BENITO,atencion de partos en servicios,rn con malformacion congenita,2017-02-01,1,1
