municipality,group,variable,month,Partos atendidos por proveedor calificado,TOTAL
ACACIO,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,3,3
ACHACACHI,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,33,33
ACHOCALLA,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,8,8
AIQUILE,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,23,23
ALCALA,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,3,3
ALTO BENI,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,3,3
ANCORAIMES,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,1,1
ANTEQUERA,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,1,1
APOLO,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,11,11
ARAMPAMPA,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,1,1
ARANI,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,7,7
ARBIETO,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,5,5
ARQUE,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,1,1
AUCAPATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,1,1
AYATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,2,2
AYO AYO,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,9,9
AZURDUY,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,5,5
BATALLAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,9,9
BAURES,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,2,2
BELLA FLOR,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,2,2
BERMEJO,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,37,37
BETANZOS,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,19,19
BOYUIBE,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,3,3
CABEZAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,21,21
CAIROMA,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,1,1
"CAIZA ""D""",atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,1,1
CAJUATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,17,17
CALACOTO,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,1,1
CALAMARCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,5,5
CAMARGO,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,22,22
CAMIRI,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,34,34
CAPINOTA,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,10,10
CAQUIAVIRI,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,2,2
CARACOLLO,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,14,14
CARANAVI,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,70,70
CARIPUYO,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,1,1
CHALLAPATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,41,41
CHAQUI,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,3,3
CHARAGUA,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,28,28
CHAYANTA,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,9,9
CHIMORE,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,21,21
CHIPAYA,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,1,1
CHUA COCANI,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,27,27
CHUMA,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,1,1
CKOCHAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,3,3
CLIZA,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,32,32
COBIJA,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,150,150
COCAPATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2017-01-01,1,1
