municipality,group,variable,month,RN con visita de control en las 48 hrs siguientes al nacimiento,TOTAL
ACACIO,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,2,2
ACHOCALLA,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,8,8
AIQUILE,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,23,23
ALCALA,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,3,3
ALTO BENI,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,3,3
ANCORAIMES,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,3,3
ANDAMARCA,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,1,1
ANTEQUERA,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,1,1
ANZALDO,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,2,2
APOLO,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,11,11
ARAMPAMPA,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,1,1
ARANI,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,7,7
ARBIETO,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,6,6
ARQUE,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,2,2
ATOCHA,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,6,6
AUCAPATA,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,1,1
AYATA,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,3,3
AYO AYO,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,15,15
AZURDUY,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,5,5
BATALLAS,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,9,9
BAURES,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,4,4
BELLA FLOR,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,2,2
BERMEJO,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,1,1
BETANZOS,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,19,19
BOYUIBE,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,3,3
BUENA VISTA,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,5,5
CABEZAS,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,21,21
CAIROMA,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,4,4
"CAIZA ""D""",atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,6,6
CAJUATA,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,17,17
CALACOTO,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,1,1
CALAMARCA,atencion de partos en servicios,rn con visita de control en las 48 hrs siguientes al nacimiento,2017-01-01,7,7
