municipality,group,variable,month,Diabetes en mayores de 5 años,TOTAL
ASCENCION DE GUARAYOS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,1,1
BERMEJO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,2,2
CAMIRI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,15,15
CARANAVI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,2,2
CHARAGUA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,2,2
COBIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,16,16
COCHABAMBA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,61,61
COLCAPIRHUA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,1,1
COMARAPA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,1,1
COTAGAITA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,2,2
COTOCA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,1,1
EL ALTO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,6,6
FERNANDEZ ALONSO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,1,1
GUAYARAMERIN,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,13,13
LA GUARDIA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,3,3
LA PAZ,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,19,19
LLALLAGUA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,1,1
MAGDALENA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,1,1
ORURO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,3,3
PADILLA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,1,1
PORTACHUELO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,11,11
POTOSI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,17,17
RIBERALTA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,17,17
ROBORE,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,4,4
RURRENABAQUE,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,2,2
SACABA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,1,1
SAN BORJA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,4,4
SAN IGNACIO DE VELASCO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,6,6
SAN MATIAS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,2,2
SAN MIGUEL DE VELASCO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,1,1
SAN RAMON,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,8,8
SANTA ANA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,3,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,192,192
SUCRE,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,14,14
TARABUCO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,1,1
TARIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,6,6
TIPUANI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,3,3
YACUIBA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-01-01,7,7
BERMEJO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,2,2
BOYUIBE,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,1,1
CAMIRI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,15,15
CARANAVI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,1,1
COBIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,6,6
