municipality,group,variable,month,Otros en menores de 5 años,TOTAL
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,4,4
APOLO,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,43,43
ATOCHA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,2,2
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,19,19
BETANZOS,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,2,2
CAMARGO,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,12,12
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,65,65
CARANAVI,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,18,18
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,10,10
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,6,6
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,12,12
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2009-01-01,3,3
CLIZA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,2,2
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,26,26
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,124,124
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,2,2
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,2,2
CONCEPCION,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,2,2
COROICO,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,10,10
COTAGAITA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,1,1
COTOCA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,2,2
CUEVO,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,1,1
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,235,235
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,5,5
ENTRE RIOS,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,2,2
FERNANDEZ ALONSO,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,128,128
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,26,26
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,4,4
LA GUARDIA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,4,4
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,626,626
