municipality,group,variable,month,Hipertensión Arterial en mayores de 5 años,TOTAL
ASCENCION DE GUARAYOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,7,7
BAURES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,2,2
BERMEJO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,3,3
BOYUIBE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,5,5
CAMIRI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,22,22
CARANAVI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,1,1
CARMEN RIVERO TORREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,5,5
CHARAGUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,4,4
COBIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,10,10
COCHABAMBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,22,22
COMARAPA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,1,1
CONCEPCION,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,4,4
COROICO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,3,3
COTAGAITA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,2,2
CUATRO CAÑADAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,1,1
CULPINA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,1,1
EL ALTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,3,3
ENTRE RIOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,1,1
FERNANDEZ ALONSO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,2,2
GUAYARAMERIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,21,21
IRUPANA (VILLA DE LANZA),diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,1,1
LA GUARDIA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,19,19
LA PAZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,47,47
MAGDALENA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,2,2
MAIRANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,1,1
MINEROS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,9,9
ORURO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,4,4
PORTACHUELO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,9,9
POTOSI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,11,11
PUERTO CARABUCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,1,1
PUERTO SUAREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,2,2
PUNATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,1,1
REYES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,1,1
RIBERALTA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,8,8
ROBORE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,2,2
RURRENABAQUE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,2,2
SACABA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,3,3
SAN BORJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,4,4
SAN IGNACIO DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,12,12
SAN JOAQUIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,5,5
SAN JOSE DE CHIQUITOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,8,8
SAN LORENZO(PND),diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,1,1
SAN MATIAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,3,3
SAN MIGUEL DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,1,1
SAN RAFAEL,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,1,1
SANTA ANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,142,142
SANTA ROSA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,3,3
SANTA ROSA DEL SARA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,1,1
SUCRE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,22,22
TARABUCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,2,2
TARIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,6,6
TIPUANI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,2,2
TRINIDAD,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,2,2
VALLEGRANDE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,2,2
YACUIBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-01-01,5,5
ASCENCION DE GUARAYOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,1,1
BOYUIBE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,2,2
CABEZAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,2,2
CAMIRI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,16,16
CARANAVI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,1,1
CARMEN RIVERO TORREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,3,3
CHARAGUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,3,3
COBIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,5,5
COCHABAMBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,29,29
COROICO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,1,1
COTOCA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,1,1
CUATRO CAÑADAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,1,1
EL ALTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,1,1
EL TORNO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,4,4
FERNANDEZ ALONSO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,1,1
GUAYARAMERIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,5,5
LA GUARDIA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,23,23
LA PAZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,9,9
MAGDALENA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,4,4
MAIRANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,1,1
MINEROS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,4,4
MIZQUE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,1,1
ORURO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,2,2
PATACAMAYA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,1,1
PORTACHUELO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,12,12
POTOSI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,7,7
PUERTO SUAREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,4,4
REYES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,1,1
RIBERALTA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,11,11
ROBORE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,1,1
SACABA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,2,2
