municipality,group,variable,month,Diarreas en menores de 5 años,TOTAL
AIQUILE,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,2,2
APOLO,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,3,3
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,2,2
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,14,14
BOYUIBE,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,3,3
CABEZAS,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
CAMARGO,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,4,4
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,26,26
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,7,7
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,10,10
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,6,6
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,17,17
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,93,93
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,2,2
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,2,2
COTAGAITA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,2,2
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,4,4
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,37,37
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,6,6
ENTRE RIOS,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,62,62
FILADELFIA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
GUANAY,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,15,15
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,5,5
HUARACAJE,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,28,28
