,group,variable,month,BCG DENTRO,BCG DENTRO,BCG FUERA,BCG FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,bcg,2019-01-01,2,0,2,2,6
ACHACACHI,vacunaciones en menores de 1 ano,bcg,2019-01-01,10,14,5,15,44
ACHOCALLA,vacunaciones en menores de 1 ano,bcg,2019-01-01,3,5,2,2,12
AIQUILE,vacunaciones en menores de 1 ano,bcg,2019-01-01,22,13,0,2,37
ALALAY,vacunaciones en menores de 1 ano,bcg,2019-01-01,0,0,2,1,3
ALCALA,vacunaciones en menores de 1 ano,bcg,2019-01-01,1,0,0,0,1
ALTO BENI,vacunaciones en menores de 1 ano,bcg,2019-01-01,5,3,2,1,11
ANCORAIMES,vacunaciones en menores de 1 ano,bcg,2019-01-01,1,1,2,5,9
ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2019-01-01,1,1,0,0,2
ANZALDO,vacunaciones en menores de 1 ano,bcg,2019-01-01,3,1,5,5,14
APOLO,vacunaciones en menores de 1 ano,bcg,2019-01-01,6,9,4,0,19
ARAMPAMPA,vacunaciones en menores de 1 ano,bcg,2019-01-01,0,1,4,1,6
ARANI,vacunaciones en menores de 1 ano,bcg,2019-01-01,7,3,0,0,10
ARBIETO,vacunaciones en menores de 1 ano,bcg,2019-01-01,8,6,0,0,14
ARQUE,vacunaciones en menores de 1 ano,bcg,2019-01-01,7,3,5,4,19
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,bcg,2019-01-01,28,37,3,1,69
ATOCHA,vacunaciones en menores de 1 ano,bcg,2019-01-01,7,4,0,0,11
AUCAPATA,vacunaciones en menores de 1 ano,bcg,2019-01-01,0,2,2,0,4
AYATA,vacunaciones en menores de 1 ano,bcg,2019-01-01,1,0,2,2,5
AYO AYO,vacunaciones en menores de 1 ano,bcg,2019-01-01,0,0,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,bcg,2019-01-01,8,13,1,5,27
AZURDUY,vacunaciones en menores de 1 ano,bcg,2019-01-01,8,6,1,3,18
BATALLAS,vacunaciones en menores de 1 ano,bcg,2019-01-01,2,4,3,5,14
BAURES,vacunaciones en menores de 1 ano,bcg,2019-01-01,2,2,0,0,4
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2019-01-01,0,0,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,bcg,2019-01-01,0,0,0,1,1
BELLA FLOR,vacunaciones en menores de 1 ano,bcg,2019-01-01,1,0,1,0,2
BERMEJO,vacunaciones en menores de 1 ano,bcg,2019-01-01,30,32,0,1,63
BETANZOS,vacunaciones en menores de 1 ano,bcg,2019-01-01,14,8,8,6,36
BOLIVAR,vacunaciones en menores de 1 ano,bcg,2019-01-01,2,2,0,2,6
BOLPEBRA,vacunaciones en menores de 1 ano,bcg,2019-01-01,0,1,2,0,3
BOYUIBE,vacunaciones en menores de 1 ano,bcg,2019-01-01,2,0,1,0,3
BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2019-01-01,6,3,0,1,10
CABEZAS,vacunaciones en menores de 1 ano,bcg,2019-01-01,13,11,8,12,44
CAIROMA,vacunaciones en menores de 1 ano,bcg,2019-01-01,6,3,0,2,11
