,group,variable,month,ANTINEUMOCÓCICA 1RA DOSIS DENTRO,ANTINEUMOCÓCICA 1RA DOSIS DENTRO,ANTINEUMOCÓCICA 1RA DOSIS FUERA,ANTINEUMOCÓCICA 1RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,2,1,4,1,8
ACHACACHI,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,24,23,5,5,57
ACHOCALLA,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,27,22,0,1,50
AIQUILE,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,12,11,11,6,40
ALALAY,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,1,1,2,2,6
ALCALA,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,0,2,0,0,2
ALTO BENI,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,2,3,0,1,6
ANCORAIMES,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,3,3,1,4,11
ANDAMARCA,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,2,1,0,0,3
ANTEQUERA,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,1,4,0,0,5
ANZALDO,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,1,4,3,1,9
APOLO,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,9,7,2,4,22
ARAMPAMPA,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,0,0,3,1,4
ARANI,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,8,5,2,1,16
ARBIETO,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,18,13,0,2,33
ARQUE,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,9,4,1,7,21
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,28,23,3,0,54
ATOCHA,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,6,5,0,0,11
AUCAPATA,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,4,4,0,0,8
AYATA,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,2,4,1,3,10
AYO AYO,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,6,7,0,0,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,16,12,7,4,39
AZURDUY,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,3,3,4,6,16
BATALLAS,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,19,12,1,1,33
BAURES,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,2,7,0,0,9
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,0,0,2,0,2
BELLA FLOR,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,3,0,3,3,9
BERMEJO,vacunaciones en menores de 1 ano,antineumococica 1ra dosis,2019-01-01,39,31,1,1,72
