,group,variable,month,ANTINEUMOCÓCICA 2DA DOSIS DENTRO,ANTINEUMOCÓCICA 2DA DOSIS DENTRO,ANTINEUMOCÓCICA 2DA DOSIS FUERA,ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,3,1,3,1,8
ACHACACHI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,11,22,4,5,42
ACHOCALLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,14,14,1,2,31
AIQUILE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,11,17,2,9,39
ALALAY,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,1,2,2,6
ALCALA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,0,0,0,1
ALTO BENI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,6,8,0,0,14
ANCORAIMES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,10,6,2,3,21
ANDAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,0,1,1,2
ANTEQUERA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,2,2,0,0,4
ANZALDO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,8,3,4,4,19
APOLO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,11,10,6,3,30
ARAMPAMPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,1,3,3,7
ARANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,8,2,1,0,11
ARBIETO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,20,15,1,1,37
ARQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,5,7,4,7,23
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,37,31,1,1,70
ATOCHA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,12,2,3,2,19
AUCAPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,2,0,0,3
AYATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,2,3,0,1,6
AYO AYO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,5,6,0,1,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,15,14,5,4,38
AZURDUY,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,8,1,7,2,18
BATALLAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,13,15,0,2,30
BAURES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,2,4,0,0,6
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,0,1,0,1
BELLA FLOR,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,0,1,0,1
BERMEJO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,28,26,2,1,57
